"City";"Year";"Formal Jobs";"Jobs in Agriculture";"Jobs in Industry";"Jobs in Construction";"Jobs in Retail";"Jobs in Service";"Share of Agricultural Jobs";"Share of Industry Jobs";"Share of Construction Jobs";"Share of Retail Jobs";"Share of Service Jobs";"Cód. IBGE"
"Casa Branca";"2016";"6243";"1801";"840";"111";"1367";"2124";"28,85";"13,46";"1,78";"21,9";"34,02";3510807
"Cássia dos Coqueiros";"2012";"451";"158";"-";"-";"34";"259";"35,03";"-";"-";"7,54";"57,43";3510906
"Cássia dos Coqueiros";"2013";"486";"172";"x";"-";"41";"272";"35,39";"0,21";"-";"8,44";"55,97";3510906
"Cássia dos Coqueiros";"2014";"490";"180";"-";"1";"42";"267";"36,73";"-";"0,2";"8,57";"54,49";3510906
"Cássia dos Coqueiros";"2015";"483";"172";"-";"4";"44";"263";"35,61";"-";"0,83";"9,11";"54,45";3510906
"Cássia dos Coqueiros";"2016";"461";"173";"2";"2";"34";"250";"37,53";"0,43";"0,43";"7,38";"54,23";3510906
"Castilho";"2012";"3204";"288";"1274";"149";"394";"1099";"8,99";"39,76";"4,65";"12,3";"34,3";3511003
"Castilho";"2013";"3345";"266";"1468";"100";"398";"1113";"7,95";"43,89";"2,99";"11,9";"33,27";3511003
"Castilho";"2014";"3493";"247";"1436";"40";"637";"1133";"7,07";"41,11";"1,15";"18,24";"32,44";3511003
"Castilho";"2015";"3247";"210";"1212";"128";"519";"1178";"6,47";"37,33";"3,94";"15,98";"36,28";3511003
"Castilho";"2016";"3082";"218";"1168";"56";"541";"1099";"7,07";"37,9";"1,82";"17,55";"35,66";3511003
"Catanduva";"2012";"40803";"889";"12686";"1158";"11207";"14863";"2,18";"31,09";"2,84";"27,47";"36,43";3511102
"Catanduva";"2013";"40126";"590";"11758";"1795";"11172";"14811";"1,47";"29,3";"4,47";"27,84";"36,91";3511102
"Catanduva";"2014";"41171";"499";"13272";"1824";"11189";"14387";"1,21";"32,24";"4,43";"27,18";"34,94";3511102
"Catanduva";"2015";"36719";"492";"10334";"1198";"10538";"14157";"1,34";"28,14";"3,26";"28,7";"38,55";3511102
"Catanduva";"2016";"34888";"370";"9708";"1480";"9408";"13922";"1,06";"27,83";"4,24";"26,97";"39,9";3511102
"Catiguá";"2012";"1018";"345";"22";"x";"146";"504";"33,89";"2,16";"0,1";"14,34";"49,51";3511201
"Catiguá";"2013";"1012";"286";"50";"2";"169";"505";"28,26";"4,94";"0,2";"16,7";"49,9";3511201
"Catiguá";"2014";"961";"263";"21";"4";"168";"505";"27,37";"2,19";"0,42";"17,48";"52,55";3511201
"Catiguá";"2015";"957";"228";"52";"4";"192";"481";"23,82";"5,43";"0,42";"20,06";"50,26";3511201
"Catiguá";"2016";"941";"222";"57";"-";"183";"479";"23,59";"6,06";"-";"19,45";"50,9";3511201
"Caçapava";"2012";"21005";"310";"9448";"991";"3782";"6474";"1,48";"44,98";"4,72";"18,01";"30,82";3508504
"Caçapava";"2013";"22263";"358";"10119";"889";"3912";"6985";"1,61";"45,45";"3,99";"17,57";"31,37";3508504
"Caçapava";"2014";"22628";"322";"10101";"812";"4050";"7343";"1,42";"44,64";"3,59";"17,9";"32,45";3508504
"Caçapava";"2015";"22011";"404";"9187";"748";"4058";"7614";"1,84";"41,74";"3,4";"18,44";"34,59";3508504
"Caçapava";"2016";"21149";"358";"8535";"859";"4108";"7289";"1,69";"40,36";"4,06";"19,42";"34,46";3508504
"Cedral";"2012";"1987";"144";"717";"72";"367";"687";"7,25";"36,08";"3,62";"18,47";"34,57";3511300
"Cedral";"2013";"2319";"142";"675";"133";"442";"927";"6,12";"29,11";"5,74";"19,06";"39,97";3511300
"Cedral";"2014";"2564";"155";"804";"102";"526";"977";"6,05";"31,36";"3,98";"20,51";"38,1";3511300
"Cedral";"2015";"2715";"157";"903";"136";"449";"1070";"5,78";"33,26";"5,01";"16,54";"39,41";3511300
"Cedral";"2016";"2398";"153";"754";"107";"502";"882";"6,38";"31,44";"4,46";"20,93";"36,78";3511300
"Cerqueira César";"2012";"4749";"847";"869";"655";"690";"1688";"17,84";"18,3";"13,79";"14,53";"35,54";3511409
"Cerqueira César";"2013";"5008";"1415";"972";"51";"956";"1614";"28,25";"19,41";"1,02";"19,09";"32,23";3511409
"Cerqueira César";"2014";"4854";"1335";"939";"38";"766";"1776";"27,5";"19,34";"0,78";"15,78";"36,59";3511409
"Cerqueira César";"2015";"4523";"1078";"901";"32";"739";"1773";"23,83";"19,92";"0,71";"16,34";"39,2";3511409
"Cerqueira César";"2016";"4617";"617";"1525";"24";"728";"1723";"13,36";"33,03";"0,52";"15,77";"37,32";3511409
"Cerquilho";"2012";"12517";"625";"6538";"435";"2195";"2724";"4,99";"52,23";"3,48";"17,54";"21,76";3511508
"Cerquilho";"2013";"12281";"603";"6409";"377";"2172";"2720";"4,91";"52,19";"3,07";"17,69";"22,15";3511508
"Cerquilho";"2014";"13245";"588";"6617";"482";"2232";"3326";"4,44";"49,96";"3,64";"16,85";"25,11";3511508
"Cerquilho";"2015";"12671";"922";"5957";"476";"2258";"3058";"7,28";"47,01";"3,76";"17,82";"24,13";3511508
"Cerquilho";"2016";"12314";"682";"6028";"549";"2134";"2921";"5,54";"48,95";"4,46";"17,33";"23,72";3511508
"Cesário Lange";"2012";"3284";"480";"1037";"45";"681";"1041";"14,62";"31,58";"1,37";"20,74";"31,7";3511607
"Cesário Lange";"2013";"3393";"398";"1065";"32";"712";"1186";"11,73";"31,39";"0,94";"20,98";"34,95";3511607
"Cesário Lange";"2014";"3411";"404";"1056";"34";"703";"1214";"11,84";"30,96";"1";"20,61";"35,59";3511607
"Cesário Lange";"2015";"3625";"454";"1045";"30";"792";"1304";"12,52";"28,83";"0,83";"21,85";"35,97";3511607
"Cesário Lange";"2016";"3493";"371";"1039";"23";"740";"1320";"10,62";"29,75";"0,66";"21,19";"37,79";3511607
"Charqueada";"2012";"2846";"229";"842";"288";"433";"1054";"8,05";"29,59";"10,12";"15,21";"37,03";3511706
"Charqueada";"2013";"2901";"214";"929";"273";"424";"1061";"7,38";"32,02";"9,41";"14,62";"36,57";3511706
"Charqueada";"2014";"2888";"257";"829";"195";"495";"1112";"8,9";"28,7";"6,75";"17,14";"38,5";3511706
"Charqueada";"2015";"2706";"277";"697";"141";"419";"1172";"10,24";"25,76";"5,21";"15,48";"43,31";3511706
"Charqueada";"2016";"2458";"304";"611";"126";"404";"1013";"12,37";"24,86";"5,13";"16,44";"41,21";3511706
"Chavantes";"2012";"2182";"289";"767";"2";"301";"823";"13,24";"35,15";"0,09";"13,79";"37,72";3557204
"Chavantes";"2013";"2092";"278";"653";"25";"292";"844";"13,29";"31,21";"1,2";"13,96";"40,34";3557204
"Chavantes";"2014";"2081";"265";"612";"62";"310";"832";"12,73";"29,41";"2,98";"14,9";"39,98";3557204
"Chavantes";"2015";"1997";"215";"563";"75";"333";"811";"10,77";"28,19";"3,76";"16,68";"40,61";3557204
"Chavantes";"2016";"1836";"178";"550";"36";"316";"756";"9,69";"29,96";"1,96";"17,21";"41,18";3557204
"Clementina";"2012";"3370";"65";"2678";"x";"163";"454";"1,93";"79,47";"0,3";"4,84";"13,47";3511904
"Clementina";"2013";"3585";"68";"2859";"x";"173";"468";"1,9";"79,75";"0,47";"4,83";"13,05";3511904
"Clementina";"2014";"3987";"65";"3198";"19";"170";"535";"1,63";"80,21";"0,48";"4,26";"13,42";3511904
"Clementina";"2015";"3768";"78";"2899";"-";"220";"571";"2,07";"76,94";"-";"5,84";"15,15";3511904
"Clementina";"2016";"3997";"66";"3235";"-";"164";"532";"1,65";"80,94";"-";"4,1";"13,31";3511904
"Colina";"2012";"5200";"588";"2203";"190";"749";"1470";"11,31";"42,37";"3,65";"14,4";"28,27";3512001
"Colina";"2013";"5290";"576";"2317";"205";"721";"1471";"10,89";"43,8";"3,88";"13,63";"27,81";3512001
"Colina";"2014";"5259";"522";"2404";"140";"709";"1484";"9,93";"45,71";"2,66";"13,48";"28,22";3512001
"Colina";"2015";"5402";"526";"2412";"183";"711";"1570";"9,74";"44,65";"3,39";"13,16";"29,06";3512001
"Colina";"2016";"5019";"543";"2046";"154";"672";"1604";"10,82";"40,77";"3,07";"13,39";"31,96";3512001
"Colômbia";"2012";"4186";"2658";"910";"-";"93";"525";"63,5";"21,74";"-";"2,22";"12,54";3512100
"Colômbia";"2013";"3459";"1778";"1054";"-";"93";"534";"51,4";"30,47";"-";"2,69";"15,44";3512100
"Colômbia";"2014";"4168";"2630";"850";"-";"123";"565";"63,1";"20,39";"-";"2,95";"13,56";3512100
"Colômbia";"2015";"4451";"2718";"1084";"1";"113";"535";"61,06";"24,35";"0,02";"2,54";"12,02";3512100
"Colômbia";"2016";"3304";"1692";"976";"5";"107";"524";"51,21";"29,54";"0,15";"3,24";"15,86";3512100
"Conchal";"2012";"5701";"897";"1641";"59";"1594";"1510";"15,73";"28,78";"1,03";"27,96";"26,49";3512209
"Conchal";"2013";"5928";"903";"1648";"52";"1746";"1579";"15,23";"27,8";"0,88";"29,45";"26,64";3512209
"Conchal";"2014";"6108";"849";"1785";"72";"1811";"1591";"13,9";"29,22";"1,18";"29,65";"26,05";3512209
"Conchal";"2015";"5929";"810";"1681";"48";"1744";"1646";"13,66";"28,35";"0,81";"29,41";"27,76";3512209
"Conchal";"2016";"5606";"662";"1491";"51";"1792";"1610";"11,81";"26,6";"0,91";"31,97";"28,72";3512209
"Conchas";"2012";"3244";"350";"1119";"64";"576";"1135";"10,79";"34,49";"1,97";"17,76";"34,99";3512308
"Conchas";"2013";"3327";"404";"1239";"32";"604";"1048";"12,14";"37,24";"0,96";"18,15";"31,5";3512308
"Conchas";"2014";"3369";"377";"1221";"25";"589";"1157";"11,19";"36,24";"0,74";"17,48";"34,34";3512308
"Conchas";"2015";"3381";"360";"1171";"21";"600";"1229";"10,65";"34,63";"0,62";"17,75";"36,35";3512308
"Conchas";"2016";"3573";"351";"1063";"46";"537";"1576";"9,82";"29,75";"1,29";"15,03";"44,11";3512308
"Cordeirópolis";"2012";"10026";"316";"4988";"133";"1971";"2618";"3,15";"49,75";"1,33";"19,66";"26,11";3512407
"Cordeirópolis";"2013";"9561";"308";"4894";"114";"1663";"2582";"3,22";"51,19";"1,19";"17,39";"27,01";3512407
"Cordeirópolis";"2014";"9492";"311";"4797";"129";"1505";"2750";"3,28";"50,54";"1,36";"15,86";"28,97";3512407
"Cordeirópolis";"2015";"9696";"342";"4731";"131";"1566";"2926";"3,53";"48,79";"1,35";"16,15";"30,18";3512407
"Cordeirópolis";"2016";"9250";"335";"4560";"135";"1473";"2747";"3,62";"49,3";"1,46";"15,92";"29,7";3512407
"Coroados";"2012";"939";"148";"291";"88";"88";"324";"15,76";"30,99";"9,37";"9,37";"34,5";3512506
"Coroados";"2013";"905";"145";"285";"37";"87";"351";"16,02";"31,49";"4,09";"9,61";"38,78";3512506
"Coroados";"2014";"906";"150";"301";"30";"97";"328";"16,56";"33,22";"3,31";"10,71";"36,2";3512506
"Coroados";"2015";"910";"141";"347";"16";"95";"311";"15,49";"38,13";"1,76";"10,44";"34,18";3512506
"Coroados";"2016";"884";"148";"344";"32";"76";"284";"16,74";"38,91";"3,62";"8,6";"32,13";3512506
"Coronel Macedo";"2012";"607";"103";"125";"x";"46";"331";"16,97";"20,59";"0,33";"7,58";"54,53";3512605
"Coronel Macedo";"2013";"665";"131";"153";"x";"57";"321";"19,7";"23,01";"0,45";"8,57";"48,27";3512605
"Coronel Macedo";"2014";"718";"101";"205";"37";"57";"318";"14,07";"28,55";"5,15";"7,94";"44,29";3512605
"Coronel Macedo";"2015";"706";"140";"140";"-";"56";"370";"19,83";"19,83";"-";"7,93";"52,41";3512605
"Coronel Macedo";"2016";"841";"157";"156";"131";"56";"341";"18,67";"18,55";"15,58";"6,66";"40,55";3512605
"Corumbataí";"2012";"965";"193";"191";"-";"244";"337";"20";"19,79";"-";"25,28";"34,92";3512704
"Corumbataí";"2013";"1053";"215";"182";"x";"276";"363";"20,42";"17,28";"1,61";"26,21";"34,47";3512704
"Corumbataí";"2014";"1088";"243";"179";"17";"284";"365";"22,33";"16,45";"1,56";"26,1";"33,55";3512704
"Corumbataí";"2015";"1120";"267";"175";"8";"286";"384";"23,84";"15,63";"0,71";"25,54";"34,29";3512704
"Corumbataí";"2016";"1126";"258";"166";"10";"299";"393";"22,91";"14,74";"0,89";"26,55";"34,9";3512704
"Cosmópolis";"2012";"10297";"69";"3179";"406";"2183";"4460";"0,67";"30,87";"3,94";"21,2";"43,31";3512803
"Cosmópolis";"2013";"10772";"53";"2952";"452";"2647";"4668";"0,49";"27,4";"4,2";"24,57";"43,33";3512803
"Cosmópolis";"2014";"10424";"68";"2783";"435";"2608";"4530";"0,65";"26,7";"4,17";"25,02";"43,46";3512803
"Cosmópolis";"2015";"10200";"62";"2853";"565";"2298";"4422";"0,61";"27,97";"5,54";"22,53";"43,35";3512803
"Cosmópolis";"2016";"9763";"68";"2699";"585";"2101";"4310";"0,7";"27,65";"5,99";"21,52";"44,15";3512803
"Cosmorama";"2012";"1869";"185";"1048";"x";"183";"436";"9,9";"56,07";"0,91";"9,79";"23,33";3512902
"Cosmorama";"2013";"2263";"186";"1308";"x";"192";"420";"8,22";"57,8";"6,94";"8,48";"18,56";3512902
"Cosmorama";"2014";"2507";"174";"1166";"586";"154";"427";"6,94";"46,51";"23,37";"6,14";"17,03";3512902
"Cosmorama";"2015";"2128";"228";"857";"452";"188";"403";"10,71";"40,27";"21,24";"8,83";"18,94";3512902
"Cosmorama";"2016";"1536";"168";"801";"53";"144";"370";"10,94";"52,15";"3,45";"9,38";"24,09";3512902
"Cotia";"2012";"79948";"414";"23197";"4961";"18799";"32577";"0,52";"29,02";"6,21";"23,51";"40,75";3513009
"Cotia";"2013";"76692";"388";"22315";"4595";"18000";"31394";"0,51";"29,1";"5,99";"23,47";"40,94";3513009
"Cotia";"2014";"79178";"376";"22113";"4421";"19125";"33143";"0,47";"27,93";"5,58";"24,15";"41,86";3513009
"Cotia";"2015";"79237";"390";"20322";"4190";"18567";"35768";"0,49";"25,65";"5,29";"23,43";"45,14";3513009
"Cotia";"2016";"72967";"382";"19158";"2861";"17689";"32877";"0,52";"26,26";"3,92";"24,24";"45,06";3513009
"Cravinhos";"2012";"8538";"651";"3353";"218";"1507";"2809";"7,62";"39,27";"2,55";"17,65";"32,9";3513108
"Cravinhos";"2013";"8806";"785";"3585";"116";"1459";"2861";"8,91";"40,71";"1,32";"16,57";"32,49";3513108
"Cravinhos";"2014";"8860";"758";"3590";"198";"1501";"2813";"8,56";"40,52";"2,23";"16,94";"31,75";3513108
"Cravinhos";"2015";"8575";"709";"3332";"115";"1464";"2955";"8,27";"38,86";"1,34";"17,07";"34,46";3513108
"Cravinhos";"2016";"8388";"927";"3081";"95";"1501";"2784";"11,05";"36,73";"1,13";"17,89";"33,19";3513108
"Cristais Paulista";"2012";"1584";"822";"211";"38";"133";"380";"51,89";"13,32";"2,4";"8,4";"23,99";3513207
"Cristais Paulista";"2013";"1539";"716";"251";"16";"155";"401";"46,52";"16,31";"1,04";"10,07";"26,06";3513207
"Cristais Paulista";"2014";"1525";"702";"255";"8";"160";"400";"46,03";"16,72";"0,52";"10,49";"26,23";3513207
"Cristais Paulista";"2015";"1481";"657";"220";"4";"172";"428";"44,36";"14,85";"0,27";"11,61";"28,9";3513207
"Cristais Paulista";"2016";"1739";"877";"297";"1";"164";"400";"50,43";"17,08";"0,06";"9,43";"23";3513207
"Cruzália";"2012";"343";"58";"x";"-";"63";"221";"16,91";"0,29";"-";"18,37";"64,43";3513306
"Cruzália";"2013";"388";"46";"x";"16";"71";"236";"11,86";"4,9";"4,12";"18,3";"60,82";3513306
"Cruzália";"2014";"421";"46";"18";"29";"74";"254";"10,93";"4,28";"6,89";"17,58";"60,33";3513306
"Cruzália";"2015";"404";"50";"21";"19";"80";"234";"12,38";"5,2";"4,7";"19,8";"57,92";3513306
"Cruzália";"2016";"439";"67";"34";"23";"88";"227";"15,26";"7,74";"5,24";"20,05";"51,71";3513306
"Cruzeiro";"2012";"17936";"160";"7786";"572";"3603";"5815";"0,89";"43,41";"3,19";"20,09";"32,42";3513405
"Cruzeiro";"2013";"18569";"173";"8082";"739";"3830";"5745";"0,93";"43,52";"3,98";"20,63";"30,94";3513405
"Cruzeiro";"2014";"18198";"166";"7672";"958";"3647";"5755";"0,91";"42,16";"5,26";"20,04";"31,62";3513405
"Cruzeiro";"2015";"16747";"156";"6465";"854";"3516";"5756";"0,93";"38,6";"5,1";"20,99";"34,37";3513405
"Cruzeiro";"2016";"16016";"174";"6282";"525";"3554";"5481";"1,09";"39,22";"3,28";"22,19";"34,22";3513405
"Cubatão";"2012";"40137";"x";"11916";"8077";"3501";"16612";"0,08";"29,69";"20,12";"8,72";"41,39";3513504
"Cubatão";"2013";"40928";"x";"11406";"8977";"3516";"17016";"0,03";"27,87";"21,93";"8,59";"41,58";3513504
"Cubatão";"2014";"38770";"6";"10915";"7826";"3570";"16453";"0,02";"28,15";"20,19";"9,21";"42,44";3513504
"Cubatão";"2015";"35975";"3";"12640";"3740";"3593";"15999";"0,01";"35,14";"10,4";"9,99";"44,47";3513504
"Cubatão";"2016";"29051";"1";"8989";"2592";"3408";"14061";"0";"30,94";"8,92";"11,73";"48,4";3513504
"Cunha";"2012";"1862";"548";"148";"30";"346";"790";"29,43";"7,95";"1,61";"18,58";"42,43";3513603
"Cunha";"2013";"1921";"520";"172";"43";"306";"880";"27,07";"8,95";"2,24";"15,93";"45,81";3513603
"Cunha";"2014";"1993";"523";"166";"46";"328";"930";"26,24";"8,33";"2,31";"16,46";"46,66";3513603
"Cunha";"2015";"2126";"548";"177";"68";"348";"985";"25,78";"8,33";"3,2";"16,37";"46,33";3513603
"Cunha";"2016";"2141";"558";"183";"28";"359";"1013";"26,06";"8,55";"1,31";"16,77";"47,31";3513603
"Descalvado";"2012";"9529";"1316";"2935";"829";"1754";"2695";"13,81";"30,8";"8,7";"18,41";"28,28";3513702
"Descalvado";"2013";"9520";"1263";"2973";"656";"1827";"2801";"13,27";"31,23";"6,89";"19,19";"29,42";3513702
"Descalvado";"2014";"9032";"1197";"2530";"651";"1769";"2885";"13,25";"28,01";"7,21";"19,59";"31,94";3513702
"Descalvado";"2015";"9267";"1110";"2647";"827";"1825";"2858";"11,98";"28,56";"8,92";"19,69";"30,84";3513702
"Descalvado";"2016";"9093";"1055";"2743";"659";"1825";"2811";"11,6";"30,17";"7,25";"20,07";"30,91";3513702
"Diadema";"2012";"111978";"-";"57866";"2905";"17839";"33368";"-";"51,68";"2,59";"15,93";"29,8";3513801
"Diadema";"2013";"111520";"-";"56530";"3320";"18071";"33599";"-";"50,69";"2,98";"16,2";"30,13";3513801
"Diadema";"2014";"107575";"2";"53111";"4618";"19060";"30784";"0";"49,37";"4,29";"17,72";"28,62";3513801
"Diadema";"2015";"100798";"1";"46159";"4819";"18447";"31372";"0";"45,79";"4,78";"18,3";"31,12";3513801
"Diadema";"2016";"91960";"1";"41073";"3542";"17329";"30015";"0";"44,66";"3,85";"18,84";"32,64";3513801
"Dirce Reis";"2012";"370";"12";"x";"-";"12";"147";"3,24";"53,78";"-";"3,24";"39,73";3513850
"Dirce Reis";"2013";"363";"13";"x";"-";"14";"147";"3,58";"52,07";"-";"3,86";"40,5";3513850
"Dirce Reis";"2014";"318";"11";"134";"-";"26";"147";"3,46";"42,14";"-";"8,18";"46,23";3513850
"Dirce Reis";"2015";"317";"12";"142";"-";"13";"150";"3,79";"44,79";"-";"4,1";"47,32";3513850
"Dirce Reis";"2016";"318";"11";"136";"-";"21";"150";"3,46";"42,77";"-";"6,6";"47,17";3513850
"Divinolândia";"2012";"1921";"154";"111";"24";"458";"1174";"8,02";"5,78";"1,25";"23,84";"61,11";3513900
"Divinolândia";"2013";"2017";"146";"104";"25";"520";"1222";"7,24";"5,16";"1,24";"25,78";"60,59";3513900
"Divinolândia";"2014";"2142";"146";"132";"22";"609";"1233";"6,82";"6,16";"1,03";"28,43";"57,56";3513900
"Divinolândia";"2015";"2229";"164";"183";"27";"625";"1230";"7,36";"8,21";"1,21";"28,04";"55,18";3513900
"Divinolândia";"2016";"2302";"158";"217";"16";"678";"1233";"6,86";"9,43";"0,7";"29,45";"53,56";3513900
"Dobrada";"2012";"691";"62";"66";"3";"202";"358";"8,97";"9,55";"0,43";"29,23";"51,81";3514007
"Dobrada";"2013";"629";"50";"129";"6";"121";"323";"7,95";"20,51";"0,95";"19,24";"51,35";3514007
"Dobrada";"2014";"702";"40";"187";"12";"112";"351";"5,7";"26,64";"1,71";"15,95";"50";3514007
"Dobrada";"2015";"716";"36";"187";"33";"110";"350";"5,03";"26,12";"4,61";"15,36";"48,88";3514007
"Dobrada";"2016";"698";"38";"178";"25";"125";"332";"5,44";"25,5";"3,58";"17,91";"47,56";3514007
"Dois Córregos";"2012";"6000";"500";"2181";"61";"1072";"2186";"8,33";"36,35";"1,02";"17,87";"36,43";3514106
"Dois Córregos";"2013";"6091";"531";"2167";"53";"1118";"2222";"8,72";"35,58";"0,87";"18,35";"36,48";3514106
"Dois Córregos";"2014";"6127";"543";"2135";"60";"1137";"2252";"8,86";"34,85";"0,98";"18,56";"36,76";3514106
"Dois Córregos";"2015";"5581";"541";"1836";"69";"929";"2206";"9,69";"32,9";"1,24";"16,65";"39,53";3514106
"Dois Córregos";"2016";"5394";"528";"1786";"57";"953";"2070";"9,79";"33,11";"1,06";"17,67";"38,38";3514106
"Dolcinópolis";"2012";"311";"19";"61";"-";"40";"191";"6,11";"19,61";"-";"12,86";"61,41";3514205
"Dolcinópolis";"2013";"319";"17";"68";"-";"32";"202";"5,33";"21,32";"-";"10,03";"63,32";3514205
"Dolcinópolis";"2014";"316";"15";"81";"-";"29";"191";"4,75";"25,63";"-";"9,18";"60,44";3514205
"Dolcinópolis";"2015";"315";"16";"82";"1";"24";"192";"5,08";"26,03";"0,32";"7,62";"60,95";3514205
"Dolcinópolis";"2016";"288";"12";"79";"1";"28";"168";"4,17";"27,43";"0,35";"9,72";"58,33";3514205
"Dourado";"2012";"1854";"446";"146";"24";"641";"597";"24,06";"7,87";"1,29";"34,57";"32,2";3514304
"Dourado";"2013";"2021";"421";"214";"17";"744";"625";"20,83";"10,59";"0,84";"36,81";"30,93";3514304
"Dourado";"2014";"2195";"345";"362";"11";"808";"669";"15,72";"16,49";"0,5";"36,81";"30,48";3514304
"Dourado";"2015";"2144";"353";"174";"16";"845";"756";"16,46";"8,12";"0,75";"39,41";"35,26";3514304
"Dourado";"2016";"2267";"329";"171";"12";"957";"798";"14,51";"7,54";"0,53";"42,21";"35,2";3514304
"Dracena";"2012";"10536";"642";"1665";"417";"3774";"4038";"6,09";"15,8";"3,96";"35,82";"38,33";3514403
"Dracena";"2013";"10992";"380";"1680";"471";"3870";"4591";"3,46";"15,28";"4,28";"35,21";"41,77";3514403
"Dracena";"2014";"11277";"339";"1641";"410";"4065";"4822";"3,01";"14,55";"3,64";"36,05";"42,76";3514403
"Dracena";"2015";"11094";"367";"1610";"464";"3807";"4846";"3,31";"14,51";"4,18";"34,32";"43,68";3514403
"Dracena";"2016";"10878";"270";"1513";"404";"3773";"4918";"2,48";"13,91";"3,71";"34,68";"45,21";3514403
"Duartina";"2012";"2289";"375";"544";"33";"476";"861";"16,38";"23,77";"1,44";"20,8";"37,61";3514502
"Duartina";"2013";"2209";"286";"520";"50";"494";"859";"12,95";"23,54";"2,26";"22,36";"38,89";3514502
"Duartina";"2014";"2281";"253";"523";"92";"514";"899";"11,09";"22,93";"4,03";"22,53";"39,41";3514502
"Duartina";"2015";"2298";"249";"494";"109";"536";"910";"10,84";"21,5";"4,74";"23,32";"39,6";3514502
"Duartina";"2016";"2065";"183";"441";"18";"513";"910";"8,86";"21,36";"0,87";"24,84";"44,07";3514502
"Dumont";"2012";"1828";"270";"746";"36";"380";"396";"14,77";"40,81";"1,97";"20,79";"21,66";3514601
"Dumont";"2013";"1833";"255";"705";"32";"404";"437";"13,91";"38,46";"1,75";"22,04";"23,84";3514601
"Dumont";"2014";"1645";"258";"563";"52";"377";"395";"15,68";"34,22";"3,16";"22,92";"24,01";3514601
"Dumont";"2015";"1916";"257";"847";"56";"333";"423";"13,41";"44,21";"2,92";"17,38";"22,08";3514601
"Dumont";"2016";"1975";"293";"965";"36";"332";"349";"14,84";"48,86";"1,82";"16,81";"17,67";3514601
"Echaporã";"2012";"689";"145";"41";"x";"181";"321";"21,04";"5,95";"0,15";"26,27";"46,59";3514700
"Echaporã";"2013";"766";"216";"41";"8";"181";"320";"28,2";"5,35";"1,04";"23,63";"41,78";3514700
"Echaporã";"2014";"759";"223";"31";"10";"197";"298";"29,38";"4,08";"1,32";"25,96";"39,26";3514700
"Echaporã";"2015";"768";"220";"39";"20";"196";"293";"28,65";"5,08";"2,6";"25,52";"38,15";3514700
"Echaporã";"2016";"874";"258";"39";"10";"213";"354";"29,52";"4,46";"1,14";"24,37";"40,5";3514700
"Eldorado";"2012";"1970";"906";"162";"x";"271";"628";"45,99";"8,22";"0,15";"13,76";"31,88";3514809
"Eldorado";"2013";"2115";"934";"196";"x";"269";"684";"44,16";"9,27";"1,51";"12,72";"32,34";3514809
"Eldorado";"2014";"2065";"824";"204";"7";"298";"732";"39,9";"9,88";"0,34";"14,43";"35,45";3514809
"Eldorado";"2015";"1987";"772";"165";"-";"274";"776";"38,85";"8,3";"-";"13,79";"39,05";3514809
"Eldorado";"2016";"2106";"834";"170";"3";"290";"809";"39,6";"8,07";"0,14";"13,77";"38,41";3514809
"Elias Fausto";"2012";"4732";"293";"2704";"37";"734";"964";"6,19";"57,14";"0,78";"15,51";"20,37";3514908
"Elias Fausto";"2013";"4781";"285";"2606";"56";"810";"1024";"5,96";"54,51";"1,17";"16,94";"21,42";3514908
"Elias Fausto";"2014";"4700";"278";"2517";"54";"886";"965";"5,91";"53,55";"1,15";"18,85";"20,53";3514908
"Elias Fausto";"2015";"4556";"294";"2347";"62";"911";"942";"6,45";"51,51";"1,36";"20";"20,68";3514908
"Elias Fausto";"2016";"4478";"283";"2481";"93";"701";"920";"6,32";"55,4";"2,08";"15,65";"20,54";3514908
"Elisiário";"2012";"498";"144";"29";"x";"64";"224";"28,92";"5,82";"7,43";"12,85";"44,98";3514924
"Elisiário";"2013";"538";"155";"45";"x";"74";"239";"28,81";"8,36";"4,65";"13,75";"44,42";3514924
"Elisiário";"2014";"551";"151";"39";"27";"98";"236";"27,4";"7,08";"4,9";"17,79";"42,83";3514924
"Elisiário";"2015";"542";"148";"27";"46";"64";"257";"27,31";"4,98";"8,49";"11,81";"47,42";3514924
"Elisiário";"2016";"553";"165";"20";"36";"105";"227";"29,84";"3,62";"6,51";"18,99";"41,05";3514924
"Embaúba";"2012";"393";"103";"41";"-";"24";"225";"26,21";"10,43";"-";"6,11";"57,25";3514957
"Embaúba";"2013";"381";"61";"67";"-";"27";"226";"16,01";"17,59";"-";"7,09";"59,32";3514957
"Embaúba";"2014";"409";"52";"75";"-";"41";"241";"12,71";"18,34";"-";"10,02";"58,92";3514957
"Embaúba";"2015";"382";"53";"52";"-";"39";"238";"13,87";"13,61";"-";"10,21";"62,3";3514957
"Embaúba";"2016";"349";"53";"39";"-";"33";"224";"15,19";"11,17";"-";"9,46";"64,18";3514957
"Embu das Artes";"2012";"44510";"129";"11315";"1950";"9526";"21590";"0,29";"25,42";"4,38";"21,4";"48,51";3515004
"Embu das Artes";"2013";"44988";"58";"11485";"2187";"10454";"20804";"0,13";"25,53";"4,86";"23,24";"46,24";3515004
"Embu das Artes";"2014";"45712";"57";"10648";"2448";"10940";"21619";"0,12";"23,29";"5,36";"23,93";"47,29";3515004
