"Localidades";"Períodos";"Frota Total de Veículos ";"Número de Habitantes por Total de Veículos ";"Frota de Automóveis ";"Número de Habitantes por Automóvel ";"Frota de Ônibus ";"Frota de Caminhões ";"Frota de Reboques ";"Frota de Motocicletas e Assemelhados ";"Frota de Microônibus e Camionetas ";"Frota de Veículos de Outro Tipo ";"Cód. IBGE"
"Canas";"2016";"1620";"2,96";"923";"5,2";"12";"150";"25";"314";"194";"2";3509957
"Canas";"2017";"1696";"2,87";"971";"5,01";"10";"149";"27";"325";"212";"2";3509957
"Cândido Mota";"2013";"16168";"1,85";"8918";"3,36";"62";"1024";"508";"3592";"2050";"14";3510005
"Cândido Mota";"2014";"17009";"1,76";"9309";"3,22";"61";"1090";"554";"3773";"2210";"12";3510005
"Cândido Mota";"2015";"17732";"1,69";"9704";"3,09";"63";"1112";"598";"3900";"2342";"13";3510005
"Cândido Mota";"2016";"18460";"1,62";"10120";"2,96";"70";"1161";"626";"4031";"2439";"13";3510005
"Cândido Mota";"2017";"19115";"1,57";"10512";"2,85";"75";"1214";"652";"4129";"2520";"13";3510005
"Cândido Rodrigues";"2013";"1531";"1,75";"934";"2,86";"10";"120";"48";"217";"201";"1";3510104
"Cândido Rodrigues";"2014";"1623";"1,65";"980";"2,73";"10";"122";"51";"235";"223";"2";3510104
"Cândido Rodrigues";"2015";"1664";"1,61";"1005";"2,66";"10";"122";"47";"242";"236";"2";3510104
"Cândido Rodrigues";"2016";"1695";"1,58";"1030";"2,6";"10";"116";"52";"246";"240";"1";3510104
"Cândido Rodrigues";"2017";"1770";"1,51";"1096";"2,44";"12";"120";"54";"246";"241";"1";3510104
"Canitar";"2013";"1349";"3,37";"913";"4,98";"18";"59";"75";"179";"105";"-";3510153
"Canitar";"2014";"1547";"2,98";"1039";"4,44";"20";"67";"76";"206";"139";"-";3510153
"Canitar";"2015";"1616";"2,89";"1092";"4,28";"21";"67";"78";"217";"141";"-";3510153
"Canitar";"2016";"1708";"2,77";"1140";"4,15";"22";"68";"80";"240";"158";"-";3510153
"Canitar";"2017";"1772";"2,71";"1172";"4,09";"21";"69";"82";"268";"160";"-";3510153
"Capão Bonito";"2013";"19512";"2,37";"9919";"4,65";"190";"1157";"432";"5690";"2119";"5";3510203
"Capão Bonito";"2014";"20900";"2,21";"10651";"4,33";"183";"1186";"470";"6105";"2299";"6";3510203
"Capão Bonito";"2015";"22063";"2,09";"11255";"4,1";"191";"1231";"527";"6443";"2410";"6";3510203
"Capão Bonito";"2016";"23108";"2";"11736";"3,94";"194";"1272";"575";"6768";"2557";"6";3510203
"Capão Bonito";"2017";"24190";"1,91";"12181";"3,8";"205";"1292";"650";"7106";"2749";"7";3510203
"Capela do Alto";"2013";"8777";"2,1";"4686";"3,92";"33";"538";"150";"2333";"1027";"10";3510302
"Capela do Alto";"2014";"9469";"1,97";"5085";"3,68";"36";"563";"166";"2471";"1137";"11";3510302
"Capela do Alto";"2015";"10154";"1,87";"5430";"3,5";"36";"586";"186";"2690";"1215";"11";3510302
"Capela do Alto";"2016";"10585";"1,82";"5681";"3,4";"38";"618";"207";"2773";"1255";"13";3510302
"Capela do Alto";"2017";"11043";"1,78";"5941";"3,3";"50";"632";"229";"2839";"1338";"14";3510302
"Capivari";"2013";"30177";"1,67";"18148";"2,77";"233";"1617";"1038";"5795";"3341";"5";3510401
"Capivari";"2014";"31473";"1,62";"18880";"2,69";"231";"1636";"1080";"6099";"3542";"5";3510401
"Capivari";"2015";"32520";"1,58";"19474";"2,64";"228";"1639";"1072";"6389";"3712";"6";3510401
"Capivari";"2016";"33340";"1,56";"19868";"2,62";"236";"1629";"1107";"6652";"3842";"6";3510401
"Capivari";"2017";"34460";"1,52";"20469";"2,57";"243";"1642";"1116";"6939";"4044";"7";3510401
"Caraguatatuba";"2013";"51002";"2,07";"27338";"3,86";"122";"1866";"1005";"15049";"5541";"81";3510500
"Caraguatatuba";"2014";"54747";"1,96";"29532";"3,63";"107";"1841";"1080";"15982";"6124";"81";3510500
"Caraguatatuba";"2015";"57851";"1,88";"31324";"3,48";"111";"1877";"1158";"16743";"6553";"85";3510500
"Caraguatatuba";"2016";"60804";"1,82";"33048";"3,34";"131";"1851";"1228";"17516";"6947";"83";3510500
"Caraguatatuba";"2017";"63631";"1,76";"34716";"3,22";"133";"1836";"1318";"18181";"7366";"81";3510500
"Carapicuíba";"2013";"163806";"2,31";"109304";"3,45";"930";"4556";"787";"32748";"15429";"52";3510609
"Carapicuíba";"2014";"170973";"2,22";"114039";"3,34";"928";"4512";"840";"34260";"16345";"49";3510609
"Carapicuíba";"2015";"176988";"2,17";"117767";"3,25";"956";"4455";"886";"35742";"17129";"53";3510609
"Carapicuíba";"2016";"182706";"2,11";"121317";"3,18";"939";"4452";"929";"36969";"18045";"55";3510609
"Carapicuíba";"2017";"188860";"2,05";"125149";"3,1";"932";"4472";"998";"38137";"19113";"59";3510609
"Cardoso";"2013";"5731";"2,06";"3529";"3,34";"48";"208";"229";"1010";"704";"3";3510708
"Cardoso";"2014";"6117";"1,92";"3719";"3,17";"49";"214";"266";"1098";"768";"3";3510708
"Cardoso";"2015";"6420";"1,83";"3879";"3,03";"52";"220";"298";"1154";"814";"3";3510708
"Cardoso";"2016";"6668";"1,76";"4015";"2,93";"53";"219";"334";"1180";"864";"3";3510708
"Cardoso";"2017";"6949";"1,69";"4153";"2,83";"55";"229";"384";"1217";"908";"3";3510708
"Casa Branca";"2013";"15267";"1,88";"8599";"3,33";"91";"635";"213";"3949";"1764";"16";3510807
"Casa Branca";"2014";"16127";"1,78";"9052";"3,18";"90";"647";"224";"4184";"1914";"16";3510807
"Casa Branca";"2015";"16839";"1,72";"9452";"3,06";"92";"644";"236";"4354";"2045";"16";3510807
"Casa Branca";"2016";"17442";"1,66";"9782";"2,97";"98";"643";"258";"4459";"2185";"17";3510807
"Casa Branca";"2017";"18178";"1,6";"10189";"2,86";"108";"665";"273";"4628";"2298";"17";3510807
"Cássia dos Coqueiros";"2013";"1129";"2,29";"768";"3,37";"13";"24";"10";"129";"185";"-";3510906
"Cássia dos Coqueiros";"2014";"1202";"2,14";"810";"3,17";"16";"27";"12";"142";"195";"-";3510906
"Cássia dos Coqueiros";"2015";"1274";"2";"857";"2,98";"16";"25";"18";"151";"207";"-";3510906
"Cássia dos Coqueiros";"2016";"1334";"1,91";"880";"2,89";"16";"25";"22";"163";"228";"-";3510906
"Cássia dos Coqueiros";"2017";"1397";"1,81";"915";"2,76";"15";"27";"22";"178";"240";"-";3510906
"Castilho";"2013";"6988";"2,69";"3907";"4,82";"107";"267";"280";"1745";"676";"6";3511003
"Castilho";"2014";"7571";"2,52";"4226";"4,52";"108";"269";"318";"1907";"736";"7";3511003
"Castilho";"2015";"8035";"2,42";"4451";"4,36";"110";"281";"339";"2063";"785";"6";3511003
"Castilho";"2016";"8445";"2,33";"4662";"4,22";"120";"279";"370";"2152";"856";"6";3511003
"Castilho";"2017";"8845";"2,25";"4881";"4,08";"124";"287";"401";"2226";"920";"6";3511003
"Catanduva";"2013";"94571";"1,21";"48590";"2,35";"508";"4080";"4043";"28076";"9211";"63";3511102
"Catanduva";"2014";"97901";"1,17";"50197";"2,29";"509";"4040";"4096";"29201";"9792";"66";3511102
"Catanduva";"2015";"99963";"1,15";"51385";"2,24";"494";"3928";"4028";"29897";"10164";"67";3511102
"Catanduva";"2016";"102022";"1,13";"52465";"2,2";"489";"3920";"4099";"30489";"10493";"67";3511102
"Catanduva";"2017";"104025";"1,12";"53557";"2,17";"491";"3898";"4145";"30965";"10900";"69";3511102
"Catiguá";"2013";"3142";"2,31";"2074";"3,5";"28";"147";"126";"488";"278";"1";3511201
"Catiguá";"2014";"3289";"2,22";"2160";"3,38";"28";"146";"150";"501";"303";"1";3511201
"Catiguá";"2015";"3444";"2,13";"2253";"3,26";"30";"143";"163";"514";"340";"1";3511201
"Catiguá";"2016";"3594";"2,05";"2313";"3,19";"33";"158";"205";"531";"353";"1";3511201
"Catiguá";"2017";"3709";"2";"2378";"3,12";"33";"150";"231";"551";"365";"1";3511201
"Caçapava";"2013";"46127";"1,88";"29993";"2,9";"176";"1405";"635";"9447";"4436";"35";3508504
"Caçapava";"2014";"48997";"1,79";"31816";"2,75";"231";"1465";"722";"9925";"4800";"38";3508504
"Caçapava";"2015";"50651";"1,74";"32809";"2,69";"218";"1468";"739";"10351";"5026";"40";3508504
"Caçapava";"2016";"52188";"1,7";"33691";"2,64";"208";"1496";"783";"10667";"5301";"42";3508504
"Caçapava";"2017";"54023";"1,66";"34875";"2,57";"201";"1513";"833";"10981";"5579";"41";3508504
"Cedral";"2013";"4682";"1,76";"2819";"2,92";"17";"260";"159";"821";"601";"5";3511300
"Cedral";"2014";"4965";"1,68";"2968";"2,81";"18";"258";"183";"873";"660";"5";3511300
"Cedral";"2015";"5270";"1,6";"3114";"2,71";"18";"261";"210";"955";"708";"4";3511300
"Cedral";"2016";"5390";"1,58";"3176";"2,68";"20";"271";"231";"964";"724";"4";3511300
"Cedral";"2017";"5602";"1,53";"3307";"2,6";"22";"263";"257";"985";"764";"4";3511300
"Cerqueira César";"2013";"9209";"1,96";"5626";"3,21";"132";"425";"432";"1553";"1039";"2";3511409
"Cerqueira César";"2014";"9843";"1,85";"5969";"3,05";"134";"449";"471";"1661";"1157";"2";3511409
"Cerqueira César";"2015";"10292";"1,79";"6256";"2,94";"133";"458";"489";"1716";"1239";"1";3511409
"Cerqueira César";"2016";"10797";"1,72";"6532";"2,84";"137";"489";"518";"1828";"1291";"2";3511409
"Cerqueira César";"2017";"11349";"1,65";"6849";"2,73";"148";"516";"530";"1932";"1372";"2";3511409
"Cerquilho";"2013";"24896";"1,68";"14970";"2,79";"94";"1096";"692";"5254";"2786";"4";3511508
"Cerquilho";"2014";"26312";"1,62";"15849";"2,69";"98";"1114";"745";"5467";"3035";"4";3511508
"Cerquilho";"2015";"27218";"1,59";"16363";"2,65";"106";"1122";"784";"5628";"3211";"4";3511508
"Cerquilho";"2016";"28013";"1,57";"16802";"2,62";"112";"1124";"842";"5782";"3345";"6";3511508
"Cerquilho";"2017";"28985";"1,54";"17315";"2,57";"121";"1151";"894";"5961";"3537";"6";3511508
"Cesário Lange";"2013";"8618";"1,87";"5180";"3,11";"48";"431";"145";"1866";"945";"3";3511607
"Cesário Lange";"2014";"9284";"1,76";"5620";"2,9";"50";"430";"166";"2007";"1009";"2";3511607
"Cesário Lange";"2015";"9807";"1,68";"5991";"2,76";"52";"399";"182";"2126";"1055";"2";3511607
"Cesário Lange";"2016";"10366";"1,61";"6358";"2,62";"53";"403";"203";"2255";"1092";"2";3511607
"Cesário Lange";"2017";"10930";"1,54";"6702";"2,51";"62";"413";"222";"2384";"1145";"2";3511607
"Charqueada";"2013";"7968";"1,96";"4764";"3,28";"94";"504";"461";"1201";"940";"4";3511706
"Charqueada";"2014";"8410";"1,88";"5013";"3,16";"100";"532";"459";"1289";"1013";"4";3511706
"Charqueada";"2015";"8630";"1,86";"5155";"3,11";"101";"535";"464";"1320";"1051";"4";3511706
"Charqueada";"2016";"8815";"1,84";"5256";"3,09";"100";"546";"462";"1352";"1095";"4";3511706
"Charqueada";"2017";"9056";"1,81";"5429";"3,02";"101";"552";"461";"1382";"1127";"4";3511706
"Chavantes";"2013";"4648";"2,61";"3061";"3,97";"52";"172";"181";"653";"527";"2";3557204
"Chavantes";"2014";"4987";"2,44";"3287";"3,7";"52";"176";"184";"709";"577";"2";3557204
"Chavantes";"2015";"5159";"2,36";"3400";"3,58";"53";"176";"189";"733";"606";"2";3557204
"Chavantes";"2016";"5328";"2,29";"3553";"3,43";"52";"171";"178";"751";"621";"2";3557204
"Chavantes";"2017";"5484";"2,22";"3659";"3,33";"59";"168";"191";"767";"639";"1";3557204
"Clementina";"2013";"4023";"1,85";"2046";"3,65";"62";"317";"420";"802";"375";"1";3511904
"Clementina";"2014";"4467";"1,7";"2211";"3,44";"64";"384";"549";"857";"401";"1";3511904
"Clementina";"2015";"4702";"1,65";"2310";"3,35";"67";"401";"599";"895";"429";"1";3511904
"Clementina";"2016";"4847";"1,62";"2377";"3,31";"68";"420";"620";"912";"449";"1";3511904
"Clementina";"2017";"4980";"1,6";"2459";"3,24";"63";"436";"627";"948";"446";"1";3511904
"Colina";"2013";"9839";"1,77";"5054";"3,45";"80";"501";"504";"2606";"1093";"1";3512001
"Colina";"2014";"10253";"1,71";"5345";"3,27";"85";"487";"529";"2691";"1115";"1";3512001
"Colina";"2015";"10640";"1,65";"5568";"3,15";"87";"482";"546";"2791";"1166";"-";3512001
"Colina";"2016";"11022";"1,59";"5744";"3,05";"89";"490";"574";"2899";"1226";"-";3512001
"Colina";"2017";"11506";"1,53";"5968";"2,94";"94";"528";"604";"3015";"1296";"1";3512001
"Colômbia";"2013";"2621";"2,29";"1464";"4,11";"67";"130";"110";"478";"372";"-";3512100
"Colômbia";"2014";"2712";"2,22";"1520";"3,96";"68";"135";"116";"487";"386";"-";3512100
"Colômbia";"2015";"2769";"2,18";"1565";"3,85";"67";"139";"121";"478";"399";"-";3512100
"Colômbia";"2016";"2922";"2,06";"1663";"3,63";"69";"146";"127";"502";"415";"-";3512100
"Colômbia";"2017";"3082";"1,96";"1781";"3,39";"69";"153";"136";"526";"417";"-";3512100
"Conchal";"2013";"13798";"1,87";"7437";"3,48";"246";"909";"287";"3102";"1810";"7";3512209
"Conchal";"2014";"14854";"1,76";"7988";"3,26";"257";"963";"313";"3334";"1992";"7";3512209
"Conchal";"2015";"15827";"1,66";"8493";"3,1";"266";"987";"353";"3573";"2148";"7";3512209
"Conchal";"2016";"16602";"1,6";"8900";"2,98";"278";"997";"389";"3755";"2276";"7";3512209
"Conchal";"2017";"17310";"1,54";"9296";"2,87";"276";"1009";"444";"3892";"2386";"7";3512209
"Conchas";"2013";"8424";"1,96";"5270";"3,14";"41";"419";"177";"1436";"1064";"17";3512308
"Conchas";"2014";"8856";"1,88";"5543";"3";"43";"419";"191";"1482";"1160";"18";3512308
"Conchas";"2015";"9270";"1,8";"5821";"2,87";"45";"414";"193";"1564";"1215";"18";3512308
"Conchas";"2016";"9627";"1,74";"6009";"2,8";"41";"417";"194";"1646";"1302";"18";3512308
"Conchas";"2017";"9938";"1,7";"6187";"2,73";"42";"419";"209";"1697";"1366";"18";3512308
"Cordeirópolis";"2013";"13779";"1,6";"8099";"2,73";"37";"975";"600";"2566";"1497";"5";3512407
"Cordeirópolis";"2014";"14450";"1,55";"8422";"2,67";"46";"1029";"646";"2622";"1680";"5";3512407
"Cordeirópolis";"2015";"14922";"1,53";"8733";"2,61";"47";"1028";"664";"2684";"1760";"6";3512407
"Cordeirópolis";"2016";"15366";"1,5";"9055";"2,55";"50";"1019";"647";"2729";"1858";"8";3512407
"Cordeirópolis";"2017";"15884";"1,47";"9370";"2,5";"54";"1037";"599";"2861";"1956";"7";3512407
"Coroados";"2013";"2292";"2,38";"1302";"4,19";"20";"104";"93";"541";"232";"-";3512506
"Coroados";"2014";"2466";"2,25";"1399";"3,96";"20";"107";"101";"585";"254";"-";3512506
"Coroados";"2015";"2600";"2,16";"1467";"3,83";"20";"112";"111";"619";"271";"-";3512506
"Coroados";"2016";"2737";"2,08";"1540";"3,69";"22";"115";"115";"659";"286";"-";3512506
"Coroados";"2017";"2912";"1,97";"1636";"3,51";"22";"120";"117";"692";"325";"-";3512506
"Coronel Macedo";"2013";"1271";"3,89";"793";"6,23";"23";"60";"20";"236";"138";"1";3512605
"Coronel Macedo";"2014";"1373";"3,58";"854";"5,76";"23";"68";"22";"248";"157";"1";3512605
"Coronel Macedo";"2015";"1433";"3,42";"883";"5,54";"23";"72";"27";"259";"168";"1";3512605
"Coronel Macedo";"2016";"1517";"3,22";"936";"5,22";"22";"77";"31";"272";"178";"1";3512605
"Coronel Macedo";"2017";"1636";"2,98";"1007";"4,84";"24";"87";"39";"278";"200";"1";3512605
"Corumbataí";"2013";"2310";"1,69";"1264";"3,09";"13";"241";"128";"380";"284";"-";3512704
"Corumbataí";"2014";"2397";"1,63";"1298";"3,01";"10";"243";"129";"402";"315";"-";3512704
"Corumbataí";"2015";"2466";"1,59";"1339";"2,93";"9";"246";"134";"398";"340";"-";3512704
"Corumbataí";"2016";"2521";"1,56";"1354";"2,9";"9";"261";"151";"399";"347";"-";3512704
"Corumbataí";"2017";"2623";"1,5";"1400";"2,81";"13";"266";"162";"412";"370";"-";3512704
"Cosmópolis";"2013";"34240";"1,83";"20680";"3,03";"306";"1078";"616";"8269";"3277";"14";3512803
"Cosmópolis";"2014";"35885";"1,78";"21496";"2,97";"313";"1191";"698";"8589";"3577";"21";3512803
"Cosmópolis";"2015";"36650";"1,78";"21972";"2,97";"299";"1201";"742";"8698";"3716";"22";3512803
"Cosmópolis";"2016";"37249";"1,78";"22340";"2,98";"269";"1172";"805";"8758";"3883";"22";3512803
"Cosmópolis";"2017";"37959";"1,78";"22859";"2,96";"259";"1133";"880";"8837";"3973";"18";3512803
"Cosmorama";"2013";"4431";"1,61";"2518";"2,84";"41";"266";"145";"926";"534";"1";3512902
"Cosmorama";"2014";"4735";"1,5";"2654";"2,68";"49";"284";"167";"987";"593";"1";3512902
"Cosmorama";"2015";"4959";"1,43";"2766";"2,57";"50";"293";"178";"1030";"641";"1";3512902
"Cosmorama";"2016";"5096";"1,39";"2819";"2,51";"51";"290";"192";"1081";"662";"1";3512902
"Cosmorama";"2017";"5278";"1,34";"2894";"2,44";"49";"295";"205";"1119";"715";"1";3512902
"Cotia";"2013";"119443";"1,8";"79715";"2,7";"770";"3602";"950";"18127";"16227";"52";3513009
"Cotia";"2014";"125400";"1,75";"83657";"2,63";"804";"3674";"1017";"18935";"17260";"53";3513009
"Cotia";"2015";"129528";"1,74";"86253";"2,61";"895";"3673";"1080";"19702";"17869";"56";3513009
"Cotia";"2016";"133615";"1,72";"88918";"2,58";"920";"3629";"1143";"20285";"18663";"57";3513009
"Cotia";"2017";"138012";"1,69";"91833";"2,54";"900";"3579";"1219";"21131";"19271";"79";3513009
"Cravinhos";"2013";"18651";"1,74";"10993";"2,96";"189";"1272";"692";"3343";"2161";"1";3513108
"Cravinhos";"2014";"19798";"1,66";"11578";"2,83";"182";"1309";"780";"3581";"2367";"1";3513108
"Cravinhos";"2015";"20530";"1,61";"12001";"2,76";"177";"1291";"818";"3761";"2481";"1";3513108
"Cravinhos";"2016";"21043";"1,59";"12251";"2,72";"166";"1327";"871";"3847";"2579";"2";3513108
"Cravinhos";"2017";"21561";"1,56";"12524";"2,69";"170";"1299";"889";"3960";"2717";"2";3513108
"Cristais Paulista";"2013";"3117";"2,52";"1870";"4,2";"26";"132";"70";"545";"474";"-";3513207
"Cristais Paulista";"2014";"3309";"2,4";"1980";"4,01";"26";"138";"88";"575";"502";"-";3513207
"Cristais Paulista";"2015";"3498";"2,3";"2092";"3,84";"27";"149";"93";"601";"536";"-";3513207
"Cristais Paulista";"2016";"3673";"2,21";"2202";"3,68";"27";"153";"108";"610";"573";"-";3513207
"Cristais Paulista";"2017";"3882";"2,11";"2309";"3,55";"29";"168";"123";"643";"610";"-";3513207
"Cruzália";"2013";"1171";"1,9";"670";"3,32";"5";"81";"48";"212";"154";"1";3513306
"Cruzália";"2014";"1233";"1,79";"709";"3,11";"5";"86";"50";"215";"167";"1";3513306
"Cruzália";"2015";"1298";"1,68";"734";"2,98";"5";"90";"55";"219";"194";"1";3513306
"Cruzália";"2016";"1336";"1,63";"759";"2,86";"5";"96";"57";"227";"191";"1";3513306
"Cruzália";"2017";"1361";"1,59";"776";"2,78";"5";"94";"55";"238";"192";"1";3513306
"Cruzeiro";"2013";"34980";"2,23";"21760";"3,58";"40";"902";"559";"8564";"3148";"7";3513405
"Cruzeiro";"2014";"36587";"2,14";"22643";"3,46";"46";"903";"564";"9017";"3407";"7";3513405
"Cruzeiro";"2015";"37872";"2,07";"23206";"3,39";"48";"922";"600";"9433";"3656";"7";3513405
"Cruzeiro";"2016";"38710";"2,04";"23624";"3,34";"48";"907";"626";"9650";"3844";"11";3513405
"Cruzeiro";"2017";"39949";"1,98";"24210";"3,27";"58";"945";"654";"10008";"4063";"11";3513405
"Cubatão";"2013";"49987";"2,44";"25473";"4,78";"433";"4605";"3709";"11373";"4125";"269";3513504
"Cubatão";"2014";"51981";"2,37";"26697";"4,61";"437";"4626";"3781";"11795";"4384";"261";3513504
"Cubatão";"2015";"53491";"2,32";"27555";"4,5";"446";"4617";"3912";"12101";"4593";"267";3513504
"Cubatão";"2016";"54459";"2,3";"27978";"4,47";"453";"4579";"4101";"12335";"4747";"266";3513504
"Cubatão";"2017";"55126";"2,29";"28316";"4,45";"405";"4564";"4156";"12536";"4891";"258";3513504
"Cunha";"2013";"9395";"2,32";"4815";"4,52";"35";"277";"27";"3233";"1007";"1";3513603
"Cunha";"2014";"10090";"2,15";"5163";"4,21";"43";"296";"32";"3447";"1108";"1";3513603
"Cunha";"2015";"10766";"2,02";"5489";"3,95";"50";"315";"35";"3661";"1215";"1";3513603
"Cunha";"2016";"11367";"1,91";"5790";"3,75";"51";"334";"44";"3848";"1299";"1";3513603
"Cunha";"2017";"11942";"1,82";"6062";"3,58";"50";"344";"52";"4018";"1415";"1";3513603
"Descalvado";"2013";"19915";"1,58";"11057";"2,85";"192";"1173";"541";"4569";"2360";"23";3513702
"Descalvado";"2014";"20869";"1,52";"11501";"2,75";"195";"1229";"593";"4776";"2550";"25";3513702
"Descalvado";"2015";"21665";"1,47";"11952";"2,66";"199";"1260";"633";"4935";"2661";"25";3513702
"Descalvado";"2016";"22411";"1,42";"12415";"2,57";"182";"1319";"666";"5011";"2791";"27";3513702
"Descalvado";"2017";"23204";"1,38";"12908";"2,48";"183";"1362";"715";"5061";"2948";"27";3513702
"Diadema";"2013";"180208";"2,18";"114623";"3,42";"612";"5487";"1872";"40452";"17087";"75";3513801
"Diadema";"2014";"187905";"2,1";"119182";"3,31";"629";"5482";"1990";"42579";"17971";"72";3513801
"Diadema";"2015";"193533";"2,05";"122413";"3,24";"671";"5494";"2121";"44398";"18362";"74";3513801
"Diadema";"2016";"198613";"2";"125244";"3,18";"680";"5439";"2257";"45994";"18926";"73";3513801
"Diadema";"2017";"204549";"1,95";"128489";"3,11";"677";"5599";"2378";"47798";"19535";"73";3513801
"Dirce Reis";"2013";"786";"2,16";"413";"4,12";"7";"66";"15";"212";"73";"-";3513850
"Dirce Reis";"2014";"827";"2,06";"438";"3,89";"9";"69";"19";"220";"72";"-";3513850
"Dirce Reis";"2015";"846";"2,02";"434";"3,94";"9";"70";"20";"229";"84";"-";3513850
"Dirce Reis";"2016";"866";"1,97";"439";"3,9";"7";"71";"24";"235";"90";"-";3513850
"Dirce Reis";"2017";"887";"1,93";"455";"3,76";"8";"74";"26";"229";"95";"-";3513850
"Divinolândia";"2013";"6425";"1,73";"3939";"2,82";"39";"459";"58";"919";"1008";"3";3513900
"Divinolândia";"2014";"6768";"1,63";"4089";"2,7";"42";"470";"68";"972";"1123";"4";3513900
"Divinolândia";"2015";"7173";"1,54";"4284";"2,57";"53";"470";"80";"1027";"1255";"4";3513900
"Divinolândia";"2016";"7648";"1,44";"4496";"2,45";"59";"503";"97";"1136";"1353";"4";3513900
"Divinolândia";"2017";"7908";"1,39";"4635";"2,37";"65";"503";"102";"1180";"1419";"4";3513900
"Dobrada";"2013";"2982";"2,76";"1850";"4,45";"79";"80";"69";"647";"255";"2";3514007
"Dobrada";"2014";"3240";"2,57";"2001";"4,16";"82";"82";"79";"712";"282";"2";3514007
"Dobrada";"2015";"3350";"2,52";"2072";"4,07";"81";"84";"81";"736";"294";"2";3514007
"Dobrada";"2016";"3493";"2,44";"2133";"3,99";"84";"91";"90";"777";"316";"2";3514007
"Dobrada";"2017";"3608";"2,39";"2199";"3,92";"88";"95";"92";"797";"335";"2";3514007
"Dois Córregos";"2013";"14034";"1,81";"8098";"3,14";"131";"849";"525";"2602";"1817";"12";3514106
"Dois Córregos";"2014";"14877";"1,72";"8513";"3,01";"136";"901";"572";"2800";"1944";"11";3514106
"Dois Córregos";"2015";"15346";"1,69";"8739";"2,96";"147";"899";"596";"2934";"2020";"11";3514106
"Dois Córregos";"2016";"15844";"1,65";"9000";"2,9";"151";"900";"606";"3062";"2114";"11";3514106
"Dois Córregos";"2017";"16264";"1,62";"9267";"2,84";"166";"910";"618";"3105";"2187";"11";3514106
"Dolcinópolis";"2013";"1309";"1,59";"840";"2,48";"7";"39";"68";"213";"142";"-";3514205
"Dolcinópolis";"2014";"1401";"1,48";"893";"2,32";"9";"44";"74";"224";"157";"-";3514205
"Dolcinópolis";"2015";"1433";"1,44";"912";"2,27";"7";"41";"78";"243";"152";"-";3514205
"Dolcinópolis";"2016";"1465";"1,41";"919";"2,24";"6";"43";"88";"248";"161";"-";3514205
"Dolcinópolis";"2017";"1511";"1,36";"946";"2,18";"8";"45";"99";"252";"160";"1";3514205
"Dourado";"2013";"4583";"1,87";"2873";"2,98";"51";"233";"145";"637";"644";"-";3514304
"Dourado";"2014";"4876";"1,75";"3055";"2,8";"54";"251";"161";"665";"690";"-";3514304
"Dourado";"2015";"5078";"1,68";"3156";"2,71";"58";"259";"180";"695";"730";"-";3514304
"Dourado";"2016";"5272";"1,62";"3266";"2,61";"59";"263";"204";"709";"771";"-";3514304
"Dourado";"2017";"5455";"1,56";"3350";"2,54";"58";"275";"217";"747";"808";"-";3514304
"Dracena";"2013";"30407";"1,44";"16327";"2,69";"132";"1392";"1383";"7953";"3213";"7";3514403
"Dracena";"2014";"31792";"1,39";"16962";"2,6";"132";"1426";"1483";"8277";"3505";"7";3514403
"Dracena";"2015";"32990";"1,34";"17550";"2,52";"136";"1406";"1557";"8628";"3706";"7";3514403
"Dracena";"2016";"33881";"1,31";"17942";"2,47";"133";"1449";"1625";"8882";"3842";"8";3514403
"Dracena";"2017";"35096";"1,27";"18525";"2,4";"186";"1463";"1647";"9212";"4053";"10";3514403
"Duartina";"2013";"6218";"1,96";"3813";"3,19";"69";"298";"147";"1150";"736";"5";3514502
"Duartina";"2014";"6533";"1,86";"4028";"3,01";"70";"303";"162";"1196";"769";"5";3514502
"Duartina";"2015";"6794";"1,78";"4174";"2,9";"73";"300";"175";"1220";"847";"5";3514502
"Duartina";"2016";"7007";"1,73";"4288";"2,82";"76";"306";"189";"1255";"889";"4";3514502
"Duartina";"2017";"7255";"1,66";"4412";"2,73";"75";"317";"211";"1311";"925";"4";3514502
"Dumont";"2013";"3706";"2,33";"2197";"3,92";"54";"319";"132";"468";"535";"1";3514601
"Dumont";"2014";"3943";"2,23";"2344";"3,75";"54";"329";"146";"490";"579";"1";3514601
"Dumont";"2015";"4147";"2,16";"2475";"3,62";"54";"333";"152";"508";"624";"1";3514601
"Dumont";"2016";"4411";"2,06";"2605";"3,49";"54";"361";"178";"537";"675";"1";3514601
"Dumont";"2017";"4621";"1,99";"2711";"3,39";"54";"379";"202";"544";"730";"1";3514601
"Echaporã";"2013";"2382";"2,64";"1495";"4,2";"20";"160";"30";"315";"361";"1";3514700
"Echaporã";"2014";"2553";"2,46";"1610";"3,9";"20";"162";"36";"331";"393";"1";3514700
"Echaporã";"2015";"2654";"2,36";"1676";"3,74";"24";"165";"36";"337";"415";"1";3514700
"Echaporã";"2016";"2781";"2,25";"1747";"3,58";"27";"168";"40";"352";"446";"1";3514700
"Echaporã";"2017";"2916";"2,14";"1820";"3,43";"27";"176";"48";"366";"478";"1";3514700
"Eldorado";"2013";"3713";"3,97";"1729";"8,53";"55";"247";"59";"1173";"442";"8";3514809
"Eldorado";"2014";"3995";"3,7";"1861";"7,95";"53";"264";"73";"1240";"492";"12";3514809
"Eldorado";"2015";"4235";"3,5";"2000";"7,41";"54";"278";"84";"1309";"498";"12";3514809
