"Localidades";"Períodos";"PIB (Em mil reais correntes)";"PIB per Capita (Em reais correntes)";"Participação no PIB do Estado (Em %)";"Cód. IBGE"
"Araçariguama";"2011";"1197477,08";"68729,67";"0,083351";3502754
"Araçariguama";"2012";"1308235,99";"73343,95";"0,083913";3502754
"Araçariguama";"2013";"1373829,41";"75232,98";"0,080096";3502754
"Araçariguama";"2014";"1494019,57";"79919,74";"0,080402";3502754
"Araçariguama";"2015";"1693232,49";"88474,89";"0,087285";3502754
"Araçatuba";"2011";"4610651,45";"25267,44";"0,320926";3502804
"Araçatuba";"2012";"5423054,63";"29556,65";"0,347847";3502804
"Araçatuba";"2013";"6094591,33";"33034,63";"0,35532";3502804
"Araçatuba";"2014";"6622807,75";"35700,74";"0,356411";3502804
"Araçatuba";"2015";"6235918,21";"33430,64";"0,321457";3502804
"Araçoiaba da Serra";"2011";"371409,5";"13387,99";"0,025852";3502903
"Araçoiaba da Serra";"2012";"414177,69";"14651,82";"0,026566";3502903
"Araçoiaba da Serra";"2013";"468026,05";"16248,65";"0,027286";3502903
"Araçoiaba da Serra";"2014";"508943,59";"17339,91";"0,027389";3502903
"Araçoiaba da Serra";"2015";"577420,14";"19307,19";"0,029766";3502903
"Arco-Íris";"2011";"31436,31";"16432,99";"0,002188";3503356
"Arco-Íris";"2012";"35517,05";"18712,88";"0,002278";3503356
"Arco-Íris";"2013";"32972,2";"17501,17";"0,001922";3503356
"Arco-Íris";"2014";"34658,8";"18524,21";"0,001865";3503356
"Arco-Íris";"2015";"42851,44";"23075,62";"0,002209";3503356
"Arealva";"2011";"120660,68";"15323,94";"0,008399";3503406
"Arealva";"2012";"129932,08";"16422,15";"0,008334";3503406
"Arealva";"2013";"139485,84";"17545,39";"0,008132";3503406
"Arealva";"2014";"136500,43";"17088,19";"0,007346";3503406
"Arealva";"2015";"137330,91";"17108,62";"0,007079";3503406
"Areias";"2011";"25370,02";"6845,66";"0,001766";3503505
"Areias";"2012";"29683,46";"7981,57";"0,001904";3503505
"Areias";"2013";"34898,76";"9356,24";"0,002035";3503505
"Areias";"2014";"36389,49";"9722,01";"0,001958";3503505
"Areias";"2015";"36822,42";"9808,85";"0,001898";3503505
"Areiópolis";"2011";"81176,36";"7658,87";"0,00565";3503604
"Areiópolis";"2012";"103648,51";"9760,67";"0,006648";3503604
"Areiópolis";"2013";"112669,94";"10588,29";"0,006569";3503604
"Areiópolis";"2014";"111845,62";"10490,12";"0,006019";3503604
"Areiópolis";"2015";"113418,33";"10615,72";"0,005847";3503604
"Ariranha";"2011";"489098,91";"56746,6";"0,034044";3503703
"Ariranha";"2012";"529137,11";"60813,37";"0,03394";3503703
"Ariranha";"2013";"472465,87";"53780,97";"0,027545";3503703
"Ariranha";"2014";"462201,72";"52120,18";"0,024874";3503703
"Ariranha";"2015";"586079,48";"65461,8";"0,030212";3503703
"Artur Nogueira";"2011";"662126,5";"14714,9";"0,046087";3503802
"Artur Nogueira";"2012";"713653,41";"15533,79";"0,045775";3503802
"Artur Nogueira";"2013";"799657,51";"17047,72";"0,046621";3503802
"Artur Nogueira";"2014";"961765,01";"20081,54";"0,051758";3503802
"Artur Nogueira";"2015";"960169,2";"19635,76";"0,049496";3503802
"Arujá";"2011";"2158894,59";"28319,31";"0,15027";3503901
"Arujá";"2012";"2354346,51";"30284,88";"0,151013";3503901
"Arujá";"2013";"2889793,59";"36452,77";"0,168478";3503901
"Arujá";"2014";"3759210,48";"46501,29";"0,202304";3503901
"Arujá";"2015";"4874536,13";"59130,44";"0,251279";3503901
"Aspásia";"2011";"19497,67";"10808,02";"0,001357";3503950
"Aspásia";"2012";"21817,77";"12120,98";"0,001399";3503950
"Aspásia";"2013";"20430,4";"11381,84";"0,001191";3503950
"Aspásia";"2014";"23176,73";"12940,66";"0,001247";3503950
"Aspásia";"2015";"20575,32";"11520,34";"0,001061";3503950
"Assis";"2011";"1902294,28";"19870,62";"0,13241";3504008
"Assis";"2012";"2242027,45";"23258,27";"0,143809";3504008
"Assis";"2013";"2463836,01";"25383,36";"0,143644";3504008
"Assis";"2014";"2637083,19";"26981,15";"0,141916";3504008
"Assis";"2015";"2789340,51";"28342,64";"0,143789";3504008
"Atibaia";"2011";"4285475,74";"33524,28";"0,298292";3504107
"Atibaia";"2012";"4434423,04";"34318,97";"0,284434";3504107
"Atibaia";"2013";"4827702,27";"36963,86";"0,28146";3504107
"Atibaia";"2014";"5420788,05";"41061,29";"0,291723";3504107
"Atibaia";"2015";"5290299,89";"39644,94";"0,272711";3504107
"Auriflama";"2011";"199750,69";"14037,29";"0,013904";3504206
"Auriflama";"2012";"221603,45";"15535,86";"0,014214";3504206
"Auriflama";"2013";"227908,38";"15939,88";"0,013287";3504206
"Auriflama";"2014";"259340,71";"18096,48";"0,013957";3504206
"Auriflama";"2015";"269592,66";"18766,02";"0,013897";3504206
"Avaí";"2011";"152772,13";"30621,79";"0,010634";3504305
"Avaí";"2012";"142391,9";"28347,98";"0,009133";3504305
"Avaí";"2013";"223693";"44234,33";"0,013042";3504305
"Avaí";"2014";"273811,24";"53772,83";"0,014735";3504305
"Avaí";"2015";"249446,03";"48662,9";"0,012859";3504305
"Avanhandava";"2011";"154237,49";"13566,5";"0,010736";3504404
"Avanhandava";"2012";"167753,51";"14647,12";"0,01076";3504404
"Avanhandava";"2013";"190167,67";"16483,29";"0,011087";3504404
"Avanhandava";"2014";"182349,28";"15691,36";"0,009813";3504404
"Avanhandava";"2015";"192941,89";"16480,9";"0,009946";3504404
"Avaré";"2011";"1463351,37";"17551,86";"0,101857";3504503
"Avaré";"2012";"1710675,91";"20396,51";"0,109727";3504503
"Avaré";"2013";"1955722,28";"23179,75";"0,11402";3504503
"Avaré";"2014";"2135621,4";"25161,66";"0,11493";3504503
"Avaré";"2015";"2211726,33";"25903,29";"0,114013";3504503
"Bady Bassitt";"2011";"236448,08";"16003,25";"0,016458";3504602
"Bady Bassitt";"2012";"241006,46";"16088,55";"0,015459";3504602
"Bady Bassitt";"2013";"257679,45";"16967,11";"0,015023";3504602
"Bady Bassitt";"2014";"285573,88";"18548,58";"0,015368";3504602
"Bady Bassitt";"2015";"314612,86";"20155,86";"0,016218";3504602
"Balbinos";"2011";"22771,39";"6197,98";"0,001585";3504701
"Balbinos";"2012";"23395,97";"6359,33";"0,001501";3504701
"Balbinos";"2013";"33724,73";"9156,86";"0,001966";3504701
"Balbinos";"2014";"40213,85";"10903,97";"0,002164";3504701
"Balbinos";"2015";"38707,65";"10487,03";"0,001995";3504701
"Bálsamo";"2011";"135382,48";"16520,13";"0,009423";3504800
"Bálsamo";"2012";"151169,55";"18350,27";"0,009696";3504800
"Bálsamo";"2013";"154987,52";"18716,04";"0,009036";3504800
"Bálsamo";"2014";"156157,84";"18762,21";"0,008404";3504800
"Bálsamo";"2015";"159997,47";"19124,73";"0,008248";3504800
"Bananal";"2011";"123266,8";"12014,31";"0,00858";3504909
"Bananal";"2012";"145073,6";"14084,82";"0,009305";3504909
"Bananal";"2013";"147825,05";"14295,04";"0,008618";3504909
"Bananal";"2014";"167149,68";"16099,95";"0,008995";3504909
"Bananal";"2015";"184707,26";"17721,12";"0,009522";3504909
"Barão de Antonina";"2011";"29584,94";"9421,96";"0,002059";3505005
"Barão de Antonina";"2012";"33422,03";"10556,55";"0,002144";3505005
"Barão de Antonina";"2013";"37369,82";"11703,67";"0,002179";3505005
"Barão de Antonina";"2014";"49114,97";"15253,1";"0,002643";3505005
"Barão de Antonina";"2015";"71388,95";"21986,13";"0,00368";3505005
"Barbosa";"2011";"73961,21";"11113,63";"0,005148";3505104
"Barbosa";"2012";"81936,75";"12187,53";"0,005256";3505104
"Barbosa";"2013";"93133,74";"13710,25";"0,00543";3505104
"Barbosa";"2014";"100325,02";"14618,25";"0,005399";3505104
"Barbosa";"2015";"87619,86";"12636,27";"0,004517";3505104
