"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Lagoinha";"2015";"52487,22";"20006,16";"4561,71";"41941,79";"5983,72";"1891,66";"38,12";"8,69";"79,91";"11,4";3526308
"Laranjal Paulista";"2011";"533973,4";"69389,76";"225735,64";"284029,49";"24208,27";"80984,14";"12,99";"42,27";"53,19";"4,53";3526407
"Laranjal Paulista";"2012";"575362,81";"77308,61";"217837,08";"323894,43";"33631,29";"88470,49";"13,44";"37,86";"56,29";"5,85";3526407
"Laranjal Paulista";"2013";"615957,72";"89362,34";"225205,74";"358224,58";"32527,39";"85862,48";"14,51";"36,56";"58,16";"5,28";3526407
"Laranjal Paulista";"2014";"645299,28";"95314,62";"234664,07";"391214,51";"19420,71";"102489,37";"14,77";"36,37";"60,63";"3,01";3526407
"Laranjal Paulista";"2015";"668003,3";"102310,4";"232816,31";"412454,58";"22732,41";"108302,39";"15,32";"34,85";"61,74";"3,4";3526407
"Lavínia";"2011";"120325,93";"24486,8";"4877,4";"48838,08";"66610,45";"2781,14";"20,35";"4,05";"40,59";"55,36";3526506
"Lavínia";"2012";"112265,95";"26917,05";"4758,52";"53296,48";"54210,96";"2996,07";"23,98";"4,24";"47,47";"48,29";3526506
"Lavínia";"2013";"121054,99";"34158,37";"4687,14";"69192,32";"47175,53";"3363,82";"28,22";"3,87";"57,16";"38,97";3526506
"Lavínia";"2014";"121485,26";"35521,38";"4386,59";"74969,6";"42129,07";"3551,82";"29,24";"3,61";"61,71";"34,68";3526506
"Lavínia";"2015";"113348,44";"39039,95";"4086,16";"73078,95";"36183,34";"4896,94";"34,44";"3,6";"64,47";"31,92";3526506
"Lavrinhas";"2011";"72751,7";"18950,58";"26066,55";"44234,75";"2450,39";"9635,67";"26,05";"35,83";"60,8";"3,37";3526605
"Lavrinhas";"2012";"80390,29";"20409,4";"28791,28";"48319,19";"3279,83";"11047,25";"25,39";"35,81";"60,11";"4,08";3526605
"Lavrinhas";"2013";"88179,29";"23550,99";"27937,55";"55702,66";"4539,08";"10691,36";"26,71";"31,68";"63,17";"5,15";3526605
"Lavrinhas";"2014";"93973,88";"24815,43";"28815,83";"60309,1";"4848,95";"10745,44";"26,41";"30,66";"64,18";"5,16";3526605
"Lavrinhas";"2015";"95626,28";"27298,69";"28519,93";"63069,27";"4037,09";"10217,7";"28,55";"29,82";"65,95";"4,22";3526605
"Leme";"2011";"1665856,58";"224712,51";"565259,96";"1036613,22";"63983,4";"223175,45";"13,49";"33,93";"62,23";"3,84";3526704
"Leme";"2012";"1831803,38";"255679,84";"598248,49";"1171617,42";"61937,48";"266996,11";"13,96";"32,66";"63,96";"3,38";3526704
"Leme";"2013";"2010124,3";"321560,77";"563772,13";"1378969,57";"67382,6";"295530,42";"16";"28,05";"68,6";"3,35";3526704
"Leme";"2014";"2192082,24";"338679,26";"614585,1";"1525460,88";"52036,26";"313450,19";"15,45";"28,04";"69,59";"2,37";3526704
"Leme";"2015";"2484917,34";"358563,32";"734795,64";"1687986,69";"62135,01";"365405,1";"14,43";"29,57";"67,93";"2,5";3526704
"Lençóis Paulista";"2011";"1576807,43";"183458,45";"501494,11";"926094,47";"149218,85";"206540,65";"11,63";"31,8";"58,73";"9,46";3526803
"Lençóis Paulista";"2012";"1707871,78";"200811,94";"547382,33";"1008226,4";"152263,05";"222969,85";"11,76";"32,05";"59,03";"8,92";3526803
"Lençóis Paulista";"2013";"1902527,11";"225609,58";"607593,88";"1155087,92";"139845,31";"252879,09";"11,86";"31,94";"60,71";"7,35";3526803
"Lençóis Paulista";"2014";"1859513,78";"229197,39";"578885,46";"1207265,96";"73362,37";"257881,71";"12,33";"31,13";"64,92";"3,95";3526803
"Lençóis Paulista";"2015";"1998639,42";"247291,96";"634321,69";"1299272,63";"65045,1";"274399,38";"12,37";"31,74";"65,01";"3,25";3526803
"Limeira";"2011";"7372826,11";"679501,67";"3027476,14";"4262508,01";"82841,96";"1257542,56";"9,22";"41,06";"57,81";"1,12";3526902
"Limeira";"2012";"8005234,88";"732432,52";"3094051,09";"4847005,63";"64178,15";"1414119,01";"9,15";"38,65";"60,55";"0,8";3526902
"Limeira";"2013";"9112009,73";"901005,19";"3307942,46";"5743562,83";"60504,44";"1637027,16";"9,89";"36,3";"63,03";"0,66";3526902
"Limeira";"2014";"9626517,14";"696367,37";"3479932,91";"6076797,31";"69786,93";"1634816,98";"7,23";"36,15";"63,13";"0,72";3526902
"Limeira";"2015";"9639429,54";"1059690,34";"3287652,16";"6285820,41";"65956,96";"1607070,19";"10,99";"34,11";"65,21";"0,68";3526902
"Lindóia";"2011";"74168,64";"20539,09";"16502,55";"53017,41";"4648,68";"7072,76";"27,69";"22,25";"71,48";"6,27";3527009
"Lindóia";"2012";"87696,12";"22334,04";"21472,56";"60706,5";"5517,06";"7742,64";"25,47";"24,49";"69,22";"6,29";3527009
"Lindóia";"2013";"105691,7";"26811,72";"28000,55";"72016,34";"5674,81";"7221,76";"25,37";"26,49";"68,14";"5,37";3527009
"Lindóia";"2014";"123669,83";"28546,44";"34465,51";"84355,69";"4848,62";"9889,84";"23,08";"27,87";"68,21";"3,92";3527009
"Lindóia";"2015";"131078,58";"29617,89";"37147,97";"89245,01";"4685,61";"10686,19";"22,6";"28,34";"68,09";"3,57";3527009
"Lins";"2011";"2147304,88";"171309,7";"936118,88";"1169552,43";"41633,57";"259747,53";"7,98";"43,6";"54,47";"1,94";3527108
"Lins";"2012";"2346313,54";"187060,27";"988532,94";"1308901,08";"48879,52";"272964,18";"7,97";"42,13";"55,79";"2,08";3527108
"Lins";"2013";"2567466,51";"216674,52";"999370,24";"1498211,52";"69884,74";"307505,61";"8,44";"38,92";"58,35";"2,72";3527108
"Lins";"2014";"2910239,55";"226992,57";"1150335,53";"1697078,25";"62825,78";"328568,69";"7,8";"39,53";"58,31";"2,16";3527108
"Lins";"2015";"3145114,78";"244477,49";"1279289,68";"1806855,96";"58969,14";"363507,99";"7,77";"40,68";"57,45";"1,87";3527108
"Lorena";"2011";"1272104,46";"199275,08";"416767,36";"844814,81";"10522,29";"167242,48";"15,66";"32,76";"66,41";"0,83";3527207
"Lorena";"2012";"1381425,07";"214178,7";"425604,26";"943070,87";"12749,95";"177175,89";"15,5";"30,81";"68,27";"0,92";3527207
"Lorena";"2013";"1495773,26";"244230,3";"429262,68";"1058889,18";"7621,4";"178192,7";"16,33";"28,7";"70,79";"0,51";3527207
"Lorena";"2014";"1798551,55";"258252,96";"562847,38";"1221560,09";"14144,09";"203131";"14,36";"31,29";"67,92";"0,79";3527207
"Lorena";"2015";"1913220,89";"281715,33";"601447,3";"1301088,46";"10685,13";"218820,22";"14,72";"31,44";"68,01";"0,56";3527207
"Lourdes";"2011";"28911,07";"8529,79";"1907,76";"14732,98";"12270,33";"473,5";"29,5";"6,6";"50,96";"42,44";3527256
"Lourdes";"2012";"28836,25";"9341,58";"2180,96";"16107,13";"10548,16";"523,05";"32,4";"7,56";"55,86";"36,58";3527256
"Lourdes";"2013";"30807,96";"10805,49";"2489,04";"18410,42";"9908,5";"379,95";"35,07";"8,08";"59,76";"32,16";3527256
"Lourdes";"2014";"29343,17";"12374,29";"2126,21";"20429,08";"6787,88";"519,36";"42,17";"7,25";"69,62";"23,13";3527256
"Lourdes";"2015";"31823,38";"12694,74";"2095,96";"21405,88";"8321,54";"651,63";"39,89";"6,59";"67,26";"26,15";3527256
"Louveira";"2011";"5662191,8";"135826,6";"2701796,24";"2943502,07";"16893,5";"1371311,18";"2,4";"47,72";"51,99";"0,3";3527306
"Louveira";"2012";"6346106,23";"171827,78";"2789812,36";"3537364,46";"18929,41";"1600058,25";"2,71";"43,96";"55,74";"0,3";3527306
"Louveira";"2013";"7262791,72";"211799,55";"2977575,01";"4258496,81";"26719,9";"1835896,18";"2,92";"41";"58,63";"0,37";3527306
"Louveira";"2014";"7382169,47";"242412,65";"2383594,16";"4968652,95";"29922,36";"1862481,14";"3,28";"32,29";"67,31";"0,41";3527306
"Louveira";"2015";"9280291,45";"268186,65";"2316708,15";"6934382,53";"29200,76";"2615351,79";"2,89";"24,96";"74,72";"0,31";3527306
"Lucélia";"2011";"259421,11";"50548,99";"59674,94";"179865,79";"19880,39";"24004,44";"19,49";"23";"69,33";"7,66";3527405
"Lucélia";"2012";"278860,84";"58367,2";"60814,22";"198295,98";"19750,65";"25197,57";"20,93";"21,81";"71,11";"7,08";3527405
"Lucélia";"2013";"312757,94";"67079,95";"53998,25";"228999,95";"29759,74";"25590,8";"21,45";"17,27";"73,22";"9,52";3527405
"Lucélia";"2014";"341969,52";"71269,67";"64757,48";"255372,09";"21839,94";"28945,45";"20,84";"18,94";"74,68";"6,39";3527405
"Lucélia";"2015";"326437,49";"75619,38";"59369,7";"245236,89";"21830,9";"28456,18";"23,17";"18,19";"75,13";"6,69";3527405
"Lucianópolis";"2011";"25713,85";"8879,74";"2095,83";"16969,58";"6648,45";"715,93";"34,53";"8,15";"65,99";"25,86";3527504
"Lucianópolis";"2012";"27387,51";"10142,23";"1699,06";"19602,66";"6085,78";"884,57";"37,03";"6,2";"71,58";"22,22";3527504
"Lucianópolis";"2013";"32186,79";"11387,93";"1859,1";"21900,42";"8427,27";"642,66";"35,38";"5,78";"68,04";"26,18";3527504
"Lucianópolis";"2014";"36275,06";"12382,82";"1917,13";"24270,83";"10087,11";"796,3";"34,14";"5,28";"66,91";"27,81";3527504
"Lucianópolis";"2015";"36895,98";"13414,79";"2200,39";"25678,75";"9016,85";"1049,74";"36,36";"5,96";"69,6";"24,44";3527504
"Luís Antônio";"2011";"761779,85";"42565,87";"516379,1";"205810,11";"39590,64";"116279,83";"5,59";"67,79";"27,02";"5,2";3527603
"Luís Antônio";"2012";"902733,76";"47979,17";"610825,82";"233398,13";"58509,81";"133109,32";"5,31";"67,66";"25,85";"6,48";3527603
"Luís Antônio";"2013";"923874,36";"54754,06";"586725,71";"258932,51";"78216,14";"112120,55";"5,93";"63,51";"28,03";"8,47";3527603
"Luís Antônio";"2014";"1297236,21";"57478,43";"901764,65";"337986,25";"57485,32";"126628,94";"4,43";"69,51";"26,05";"4,43";3527603
"Luís Antônio";"2015";"1297628,74";"63215";"883352,57";"366258,73";"48017,45";"145635,54";"4,87";"68,07";"28,23";"3,7";3527603
"Luiziânia";"2011";"44273,77";"13967,52";"2792,45";"29520,17";"11961,15";"1221,22";"31,55";"6,31";"66,68";"27,02";3527702
"Luiziânia";"2012";"52284,25";"15628,55";"3654,33";"34063,8";"14566,11";"1332,74";"29,89";"6,99";"65,15";"27,86";3527702
"Luiziânia";"2013";"53358,13";"17928,25";"3517,63";"37865,04";"11975,47";"1222,62";"33,6";"6,59";"70,96";"22,44";3527702
"Luiziânia";"2014";"57159,66";"19334,22";"3460,96";"41180,25";"12518,45";"1246,79";"33,82";"6,05";"72,04";"21,9";3527702
"Luiziânia";"2015";"58323,97";"21008,98";"3332,52";"43646,04";"11345,41";"1658,08";"36,02";"5,71";"74,83";"19,45";3527702
"Lupércio";"2011";"37035,83";"13105,37";"2583,86";"24732,1";"9719,87";"274,18";"35,39";"6,98";"66,78";"26,24";3527801
"Lupércio";"2012";"48506,94";"14545,69";"4263,67";"29747,77";"14495,5";"295,89";"29,99";"8,79";"61,33";"29,88";3527801
"Lupércio";"2013";"43184,26";"16904,85";"4588,73";"32025,54";"6569,99";"751,07";"39,15";"10,63";"74,16";"15,21";3527801
"Lupércio";"2014";"51978,32";"18030,07";"4127,16";"35891,3";"11959,86";"1085,87";"34,69";"7,94";"69,05";"23,01";3527801
"Lupércio";"2015";"46867,64";"18968,15";"3281,67";"34957,63";"8628,34";"1158,34";"40,47";"7";"74,59";"18,41";3527801
"Lutécia";"2011";"45840,42";"9918,72";"3798,12";"18834,41";"23207,89";"886";"21,64";"8,29";"41,09";"50,63";3527900
"Lutécia";"2012";"58669,84";"10998,42";"4742,96";"22256,62";"31670,26";"497,31";"18,75";"8,08";"37,94";"53,98";3527900
"Lutécia";"2013";"72265,61";"12798,58";"6651,9";"26144,12";"39469,59";"911,76";"17,71";"9,2";"36,18";"54,62";3527900
"Lutécia";"2014";"72634,89";"13736,43";"6178,5";"27996,88";"38459,52";"1117,54";"18,91";"8,51";"38,54";"52,95";3527900
"Lutécia";"2015";"76378,24";"14324,55";"7513,84";"29383,71";"39480,68";"1443,13";"18,75";"9,84";"38,47";"51,69";3527900
"Macatuba";"2011";"268995,21";"45982,25";"43007,95";"188289,86";"37697,4";"20796,05";"17,09";"15,99";"70";"14,01";3528007
"Macatuba";"2012";"295720,1";"50613,02";"51938,88";"198830,78";"44950,45";"22844,21";"17,12";"17,56";"67,24";"15,2";3528007
"Macatuba";"2013";"318488,71";"58211,9";"59579,42";"218564,18";"40345,11";"22377,91";"18,28";"18,71";"68,63";"12,67";3528007
"Macatuba";"2014";"315602,77";"59565,17";"58265,02";"236422,41";"20915,33";"20812,33";"18,87";"18,46";"74,91";"6,63";3528007
"Macatuba";"2015";"487637,16";"63930,17";"59547,04";"409947,18";"18142,93";"73031,76";"13,11";"12,21";"84,07";"3,72";3528007
"Macaubal";"2011";"97847,76";"18524,46";"7338,6";"56323,93";"34185,23";"5502,25";"18,93";"7,5";"57,56";"34,94";3528106
"Macaubal";"2012";"121530,08";"22077,7";"7914,48";"70111,78";"43503,82";"7227,11";"18,17";"6,51";"57,69";"35,8";3528106
"Macaubal";"2013";"121652,43";"26213,11";"7326,18";"80416,46";"33909,8";"7895,57";"21,55";"6,02";"66,1";"27,87";3528106
"Macaubal";"2014";"122214,19";"27157,41";"7388,88";"86501,06";"28324,25";"8039,26";"22,22";"6,05";"70,78";"23,18";3528106
"Macaubal";"2015";"124287,67";"29999,96";"8139,17";"92419,33";"23729,17";"7598,25";"24,14";"6,55";"74,36";"19,09";3528106
"Macedônia";"2011";"41088,68";"11184,88";"7522,06";"21617,6";"11949,02";"1825,92";"27,22";"18,31";"52,61";"29,08";3528205
"Macedônia";"2012";"47703,09";"13938,94";"8147,41";"26238,98";"13316,7";"2361,29";"29,22";"17,08";"55";"27,92";3528205
"Macedônia";"2013";"51199,33";"14630,61";"8483,81";"28186,32";"14529,21";"2243,02";"28,58";"16,57";"55,05";"28,38";3528205
"Macedônia";"2014";"57821,74";"15609,89";"8861,48";"31496,89";"17463,37";"2433,3";"27";"15,33";"54,47";"30,2";3528205
"Macedônia";"2015";"55925,95";"16462,14";"7837,81";"31654,44";"16433,7";"2082";"29,44";"14,01";"56,6";"29,38";3528205
"Magda";"2011";"64893,65";"11885,22";"4000,66";"28486,87";"32406,12";"2370,02";"18,31";"6,16";"43,9";"49,94";3528304
"Magda";"2012";"60573,5";"13688,88";"4405,62";"31687,85";"24480,04";"2226,72";"22,6";"7,27";"52,31";"40,41";3528304
"Magda";"2013";"69536,74";"15830,05";"4394,18";"37091,35";"28051,22";"2224,7";"22,77";"6,32";"53,34";"40,34";3528304
"Magda";"2014";"68351,78";"16265,71";"4296,45";"38712,11";"25343,22";"2360,05";"23,8";"6,29";"56,64";"37,08";3528304
"Magda";"2015";"64414,74";"18017,51";"4802,87";"42251,99";"17359,87";"3135,14";"27,97";"7,46";"65,59";"26,95";3528304
"Mairinque";"2011";"1142316,38";"120933,79";"604928,57";"528704,39";"8683,42";"267356,77";"10,59";"52,96";"46,28";"0,76";3528403
"Mairinque";"2012";"1253111,25";"129950,76";"676114,83";"567568,4";"9428,02";"306721,74";"10,37";"53,95";"45,29";"0,75";3528403
"Mairinque";"2013";"1232105,47";"151529,98";"586953,27";"633749,81";"11402,39";"268909,35";"12,3";"47,64";"51,44";"0,93";3528403
"Mairinque";"2014";"1289941,81";"172667,09";"577370,32";"698231,22";"14340,28";"250303,55";"13,39";"44,76";"54,13";"1,11";3528403
"Mairinque";"2015";"1356925,29";"189401,09";"594740,51";"745861,02";"16323,76";"299400,18";"13,96";"43,83";"54,97";"1,2";3528403
"Mairiporã";"2011";"1072699,48";"201747,12";"353549,01";"718900,04";"250,42";"162584,53";"18,81";"32,96";"67,02";"0,02";3528502
"Mairiporã";"2012";"1124954,49";"224568,69";"322844,38";"801826,43";"283,68";"172592,5";"19,96";"28,7";"71,28";"0,03";3528502
"Mairiporã";"2013";"1274966,91";"274339,35";"327700,65";"946907,24";"359,02";"174269,72";"21,52";"25,7";"74,27";"0,03";3528502
"Mairiporã";"2014";"1341349,29";"289367,42";"308260,29";"1031810,22";"1278,78";"159595,98";"21,57";"22,98";"76,92";"0,1";3528502
"Mairiporã";"2015";"1347986,07";"307882,78";"265994,37";"1080723,61";"1268,1";"166479,52";"22,84";"19,73";"80,17";"0,09";3528502
"Manduri";"2011";"80946,7";"23397,57";"13371,02";"58287,61";"9288,08";"7363,88";"28,9";"16,52";"72,01";"11,47";3528601
"Manduri";"2012";"91927,82";"26105,96";"12870,48";"69563,63";"9493,71";"7270,78";"28,4";"14";"75,67";"10,33";3528601
"Manduri";"2013";"138269,64";"29743,06";"15109,23";"82546,26";"40614,15";"7422,58";"21,51";"10,93";"59,7";"29,37";3528601
"Manduri";"2014";"126773,08";"32367,6";"14772,5";"86430,53";"25570,06";"8209,09";"25,53";"11,65";"68,18";"20,17";3528601
"Manduri";"2015";"148114";"35130,33";"16450,46";"98533,91";"33129,63";"10364,48";"23,72";"11,11";"66,53";"22,37";3528601
"Marabá Paulista";"2011";"108872,22";"16388,52";"17593,94";"37507,55";"53770,73";"4282,84";"15,05";"16,16";"34,45";"49,39";3528700
"Marabá Paulista";"2012";"103861,57";"19476,42";"18037,25";"42052,66";"43771,66";"3895,28";"18,75";"17,37";"40,49";"42,14";3528700
"Marabá Paulista";"2013";"102283,62";"21447,7";"17014,98";"42171,79";"43096,85";"4022,77";"20,97";"16,64";"41,23";"42,13";3528700
"Marabá Paulista";"2014";"127230,66";"23374,04";"18397,72";"49133,58";"59699,36";"5405,65";"18,37";"14,46";"38,62";"46,92";3528700
"Marabá Paulista";"2015";"115789,43";"26842,94";"18488,55";"51960,11";"45340,77";"5207,34";"23,18";"15,97";"44,87";"39,16";3528700
"Maracaí";"2011";"402644,02";"35583,15";"165935,39";"167507,04";"69201,6";"51958,56";"8,84";"41,21";"41,6";"17,19";3528809
"Maracaí";"2012";"356176,04";"40686,02";"128510,48";"163480,21";"64185,35";"33985,9";"11,42";"36,08";"45,9";"18,02";3528809
"Maracaí";"2013";"364139,44";"47795,66";"104130,42";"187295,18";"72713,84";"25864,42";"13,13";"28,6";"51,44";"19,97";3528809
"Maracaí";"2014";"347677,23";"52549,96";"102455,75";"194474,34";"50747,15";"25706,13";"15,11";"29,47";"55,94";"14,6";3528809
"Maracaí";"2015";"415237,52";"55141,05";"107401,67";"245977,73";"61858,12";"38501,49";"13,28";"25,87";"59,24";"14,9";3528809
"Marapoama";"2011";"90122,29";"9285,81";"40479,29";"33432,35";"16210,65";"10179,52";"10,3";"44,92";"37,1";"17,99";3528858
"Marapoama";"2012";"89970,09";"10903,39";"35990,45";"36944,36";"17035,28";"11613,88";"12,12";"40";"41,06";"18,93";3528858
"Marapoama";"2013";"119691,83";"13079,74";"45838,96";"47421,3";"26431,56";"13277,32";"10,93";"38,3";"39,62";"22,08";3528858
"Marapoama";"2014";"135118,29";"14756,23";"52186,93";"55704,68";"27226,69";"14084,69";"10,92";"38,62";"41,23";"20,15";3528858
"Marapoama";"2015";"138730,04";"15441,01";"57206,98";"58970,86";"22552,2";"13744,59";"11,13";"41,24";"42,51";"16,26";3528858
"Mariápolis";"2011";"31875,96";"11324,49";"2491,44";"20422,54";"8961,98";"485,83";"35,53";"7,82";"64,07";"28,12";3528908
"Mariápolis";"2012";"36362,67";"12546,41";"2526,05";"22959,9";"10876,72";"619,36";"34,5";"6,95";"63,14";"29,91";3528908
"Mariápolis";"2013";"52129,52";"14642,71";"3257,69";"27301,45";"21570,38";"578,18";"28,09";"6,25";"52,37";"41,38";3528908
"Mariápolis";"2014";"54453,42";"15018,31";"3061,62";"29274,14";"22117,66";"633,41";"27,58";"5,62";"53,76";"40,62";3528908
"Mariápolis";"2015";"52014,9";"15922,95";"3116,46";"30273,37";"18625,07";"811,4";"30,61";"5,99";"58,2";"35,81";3528908
"Marília";"2011";"4508123,44";"644307,98";"1061280,38";"3399780,7";"47062,36";"575873,18";"14,29";"23,54";"75,41";"1,04";3529005
"Marília";"2012";"5144019,04";"731165,31";"1171727,33";"3924324,02";"47967,68";"626047,94";"14,21";"22,78";"76,29";"0,93";3529005
"Marília";"2013";"5709667,95";"796124,63";"1095732,28";"4566119,41";"47816,27";"722569,77";"13,94";"19,19";"79,97";"0,84";3529005
"Marília";"2014";"6270267,45";"838260";"1098016,06";"5121101,73";"51149,66";"771683,05";"13,37";"17,51";"81,67";"0,82";3529005
"Marília";"2015";"6183736,97";"883415,54";"1145098,64";"4977290,3";"61348,02";"693032,28";"14,29";"18,52";"80,49";"0,99";3529005
"Marinópolis";"2011";"19490,77";"8128,86";"1177,58";"13264,69";"5048,51";"363,98";"41,71";"6,04";"68,06";"25,9";3529104
"Marinópolis";"2012";"21708,38";"9301,33";"1324,91";"15642,5";"4740,97";"459,02";"42,85";"6,1";"72,06";"21,84";3529104
"Marinópolis";"2013";"23718,02";"10510,18";"1455,4";"17362,79";"4899,83";"377,97";"44,31";"6,14";"73,21";"20,66";3529104
"Marinópolis";"2014";"28144,92";"11144,74";"1520,59";"19049,79";"7574,53";"400,49";"39,6";"5,4";"67,68";"26,91";3529104
"Marinópolis";"2015";"27435,38";"11629,05";"1562,95";"19571,26";"6301,16";"580,45";"42,39";"5,7";"71,34";"22,97";3529104
"Martinópolis";"2011";"314761,13";"68428,56";"46252,09";"197269,56";"71239,49";"20297,08";"21,74";"14,69";"62,67";"22,63";3529203
"Martinópolis";"2012";"354690,53";"75383,3";"54463,51";"219903,43";"80323,6";"23104,71";"21,25";"15,36";"62";"22,65";3529203
"Martinópolis";"2013";"365358,1";"84728,64";"54725,45";"245454,59";"65178,07";"25411,42";"23,19";"14,98";"67,18";"17,84";3529203
"Martinópolis";"2014";"408308,1";"93055,9";"57941,02";"284729,76";"65637,32";"25492,23";"22,79";"14,19";"69,73";"16,08";3529203
"Martinópolis";"2015";"453846,38";"100054,01";"62799,21";"298463,34";"92583,83";"25394,11";"22,05";"13,84";"65,76";"20,4";3529203
"Matão";"2011";"2101393,4";"182886,18";"938186,5";"1109082,35";"54124,54";"318316,66";"8,7";"44,65";"52,78";"2,58";3529302
"Matão";"2012";"2563620,66";"199496,89";"1200321,48";"1322568,43";"40730,75";"390355,61";"7,78";"46,82";"51,59";"1,59";3529302
"Matão";"2013";"2745812,99";"232248,1";"1224404,2";"1493095,43";"28313,36";"418531,01";"8,46";"44,59";"54,38";"1,03";3529302
"Matão";"2014";"2863156,11";"244245,32";"1222696,44";"1606151,15";"34308,52";"402847,99";"8,53";"42,7";"56,1";"1,2";3529302
"Matão";"2015";"3034584,39";"276800,27";"1336118,84";"1682174,68";"16290,87";"430078,78";"9,12";"44,03";"55,43";"0,54";3529302
"Mauá";"2011";"8152989,97";"908449,19";"3257826,09";"4894238,9";"924,99";"1660118,07";"11,14";"39,96";"60,03";"0,01";3529401
"Mauá";"2012";"7582798,82";"972145,52";"2517027,33";"5064690,79";"1080,7";"1712561,02";"12,82";"33,19";"66,79";"0,01";3529401
"Mauá";"2013";"8636152,23";"1150064,18";"2788987,68";"5845827,38";"1337,17";"1863201,65";"13,32";"32,29";"67,69";"0,02";3529401
"Mauá";"2014";"9496572,06";"1219582,75";"3114826,72";"6381087,73";"657,61";"1832931,34";"12,84";"32,8";"67,19";"0,01";3529401
"Mauá";"2015";"10595240,49";"1316961,27";"4066258,02";"6528207,18";"775,3";"1834432,76";"12,43";"38,38";"61,61";"0,01";3529401
"Mendonça";"2011";"130572,41";"15812,74";"57956,04";"54932,94";"17683,44";"13171,46";"12,11";"44,39";"42,07";"13,54";3529500
"Mendonça";"2012";"150519,65";"17432,78";"72929,85";"61815,53";"15774,28";"15952,42";"11,58";"48,45";"41,07";"10,48";3529500
"Mendonça";"2013";"155147,32";"20973,77";"62254,09";"70446,58";"22446,65";"16903,07";"13,52";"40,13";"45,41";"14,47";3529500
"Mendonça";"2014";"162927,53";"22885,65";"65129,4";"77839,71";"19958,43";"18370,33";"14,05";"39,97";"47,78";"12,25";3529500
"Mendonça";"2015";"171006,29";"24181,26";"68198,32";"83095,84";"19712,13";"18096,24";"14,14";"39,88";"48,59";"11,53";3529500
"Meridiano";"2011";"110875,22";"14617,13";"47415,45";"48859,49";"14600,28";"12510,84";"13,18";"42,76";"44,07";"13,17";3529609
"Meridiano";"2012";"109780,89";"15683,18";"42014,19";"52902,04";"14864,67";"13877,13";"14,29";"38,27";"48,19";"13,54";3529609
"Meridiano";"2013";"186868,53";"17837,62";"86927,31";"82571,74";"17369,49";"23067,04";"9,55";"46,52";"44,19";"9,3";3529609
"Meridiano";"2014";"202817,85";"18579,33";"94725,19";"90661,06";"17431,6";"25092,74";"9,16";"46,7";"44,7";"8,59";3529609
"Meridiano";"2015";"224254,65";"19680,74";"109969,57";"97019,27";"17265,81";"25807,2";"8,78";"49,04";"43,26";"7,7";3529609
"Mesópolis";"2011";"42807,43";"8131,12";"2396,61";"15330,72";"25080,1";"559,27";"18,99";"5,6";"35,81";"58,59";3529658
"Mesópolis";"2012";"40802,66";"9784,59";"2114,18";"17696,5";"20991,98";"560,42";"23,98";"5,18";"43,37";"51,45";3529658
"Mesópolis";"2013";"40126,83";"10236,93";"2174,92";"18288,87";"19663,03";"483,79";"25,51";"5,42";"45,58";"49";3529658
"Mesópolis";"2014";"41578,03";"11067,38";"2113,23";"20109,29";"19355,51";"558,1";"26,62";"5,08";"48,37";"46,55";3529658
"Mesópolis";"2015";"44347,74";"11101,75";"2206,07";"20332,75";"21808,92";"691,91";"25,03";"4,97";"45,85";"49,18";3529658
"Miguelópolis";"2011";"533692,62";"66652,52";"230457,88";"174233,83";"129000,92";"7382,26";"12,49";"43,18";"32,65";"24,17";3529708
"Miguelópolis";"2012";"611461,31";"74462,64";"256798,81";"196312,19";"158350,31";"8786,18";"12,18";"42";"32,11";"25,9";3529708
"Miguelópolis";"2013";"663102,04";"82201,71";"231945,86";"224827,21";"206328,97";"9851,25";"12,4";"34,98";"33,91";"31,12";3529708
"Miguelópolis";"2014";"567450,71";"87316,98";"222470,47";"240470,37";"104509,87";"11594,68";"15,39";"39,21";"42,38";"18,42";3529708
"Miguelópolis";"2015";"701519,76";"95239,35";"351675,61";"261563,51";"88280,63";"13980,2";"13,58";"50,13";"37,29";"12,58";3529708
"Mineiros do Tietê";"2011";"114513";"30378,4";"11675,18";"71513,84";"31323,98";"6052,67";"26,53";"10,2";"62,45";"27,35";3529807
"Mineiros do Tietê";"2012";"113873,86";"34186,83";"14085,06";"80546,14";"19242,66";"7790,67";"30,02";"12,37";"70,73";"16,9";3529807
"Mineiros do Tietê";"2013";"128172,41";"38438,25";"18533,2";"90274,72";"19364,49";"8442,44";"29,99";"14,46";"70,43";"15,11";3529807
"Mineiros do Tietê";"2014";"140824,57";"40808,57";"25010,69";"99039,98";"16773,9";"8355,49";"28,98";"17,76";"70,33";"11,91";3529807
