"Localidades";"Períodos";"Consumo de Energia Elétrica - Total (Em MWh)";"Consumo de Energia Elétrica - Industrial (Em MWh)";"Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh)";"Consumo de Energia Elétrica - Rural (Em MWh)";"Consumo de Energia Elétrica - Residencial (Em MWh)";"Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh)";"Cód. IBGE"
"Maracaí";"2014";"23678";"3546";"3526";"5157";"8736";"2713";3528809
"Maracaí";"2015";"23208";"3269";"3795";"4871";"8573";"2700";3528809
"Maracaí";"2016";"22424";"2679";"3623";"4651";"8662";"2808";3528809
"Maracaí";"2017";"23414";"3393";"3645";"4700";"8822";"2855";3528809
"Marapoama";"2013";"7016";"1844";"734";"1590";"1900";"949";3528858
"Marapoama";"2014";"7778";"1870";"861";"1834";"2205";"1009";3528858
"Marapoama";"2015";"7633";"2006";"878";"1459";"2286";"1004";3528858
"Marapoama";"2016";"8046";"2106";"836";"1724";"2381";"999";3528858
"Marapoama";"2017";"9235";"2454";"901";"2200";"2601";"1079";3528858
"Mariápolis";"2013";"3957";"86";"432";"790";"1954";"695";3528908
"Mariápolis";"2014";"4160";"87";"424";"827";"2118";"703";3528908
"Mariápolis";"2015";"4083";"79";"431";"758";"2083";"731";3528908
"Mariápolis";"2016";"4012";"60";"395";"712";"2080";"765";3528908
"Mariápolis";"2017";"4314";"51";"440";"782";"2247";"795";3528908
"Marília";"2013";"530980";"121556";"124609";"7109";"192735";"84973";3529005
"Marília";"2014";"551721";"120978";"132826";"7274";"204335";"86309";3529005
"Marília";"2015";"538788";"116831";"128291";"7063";"201839";"84764";3529005
"Marília";"2016";"530738";"114617";"122617";"7037";"201858";"84609";3529005
"Marília";"2017";"544472";"116681";"124395";"7207";"208823";"87367";3529005
"Marinópolis";"2013";"2943";"25";"506";"741";"1264";"406";3529104
"Marinópolis";"2014";"3258";"36";"550";"877";"1369";"426";3529104
"Marinópolis";"2015";"3155";"28";"491";"904";"1328";"404";3529104
"Marinópolis";"2016";"2997";"20";"427";"875";"1293";"382";3529104
"Marinópolis";"2017";"3417";"20";"509";"1110";"1368";"410";3529104
"Martinópolis";"2013";"39029";"4385";"6020";"5979";"15293";"7352";3529203
"Martinópolis";"2014";"41843";"5057";"6783";"5975";"16442";"7586";3529203
"Martinópolis";"2015";"40526";"4610";"6562";"5535";"16348";"7470";3529203
"Martinópolis";"2016";"40046";"3290";"6728";"5255";"17160";"7612";3529203
"Martinópolis";"2017";"39533";"2301";"6930";"5070";"17605";"7627";3529203
"Matão";"2013";"369844";"234528";"37115";"10224";"63812";"24165";3529302
"Matão";"2014";"370896";"222811";"37680";"15754";"68952";"25697";3529302
"Matão";"2015";"361114";"221972";"35400";"11252";"67416";"25074";3529302
"Matão";"2016";"370987";"228939";"34233";"15391";"66455";"25968";3529302
"Matão";"2017";"395573";"248589";"35863";"16571";"68051";"26499";3529302
"Mauá";"2013";"1370431";"856677";"133794";"57";"332683";"47219";3529401
"Mauá";"2014";"1433538";"913914";"138215";"36";"335647";"45725";3529401
"Mauá";"2015";"1287475";"791609";"133736";"15";"316617";"45498";3529401
"Mauá";"2016";"1341472";"827760";"141277";"12";"320275";"52148";3529401
"Mauá";"2017";"1322690";"797181";"148604";"27";"323342";"53536";3529401
"Mendonça";"2013";"10056";"3663";"1256";"321";"3274";"1542";3529500
"Mendonça";"2014";"10911";"3954";"1431";"374";"3468";"1684";3529500
"Mendonça";"2015";"10844";"3884";"1465";"335";"3507";"1654";3529500
"Mendonça";"2016";"10658";"2957";"1551";"317";"4147";"1687";3529500
"Mendonça";"2017";"11539";"3505";"1604";"316";"4374";"1740";3529500
"Meridiano";"2013";"10249";"2017";"2942";"1743";"2420";"1127";3529609
"Meridiano";"2014";"10505";"3600";"1269";"1785";"2676";"1175";3529609
"Meridiano";"2015";"10235";"2932";"1925";"1567";"2652";"1158";3529609
"Meridiano";"2016";"8290";"297";"2607";"1597";"2613";"1175";3529609
"Meridiano";"2017";"8673";"264";"2580";"1826";"2800";"1203";3529609
"Mesópolis";"2013";"2911";"29";"397";"893";"1079";"513";3529658
"Mesópolis";"2014";"3147";"30";"373";"1068";"1164";"512";3529658
"Mesópolis";"2015";"2717";"26";"318";"734";"1163";"476";3529658
"Mesópolis";"2016";"2828";"20";"279";"898";"1126";"504";3529658
"Mesópolis";"2017";"3037";"9";"299";"987";"1209";"534";3529658
"Miguelópolis";"2013";"41942";"177";"5283";"15916";"16281";"4285";3529708
"Miguelópolis";"2014";"47753";"226";"5388";"20001";"17715";"4422";3529708
"Miguelópolis";"2015";"43283";"161";"5199";"15802";"17814";"4307";3529708
"Miguelópolis";"2016";"44996";"153";"4915";"18101";"17529";"4298";3529708
"Miguelópolis";"2017";"48528";"123";"5469";"20595";"18059";"4282";3529708
"Mineiros do Tietê";"2013";"17934";"1438";"2580";"1491";"9285";"3141";3529807
"Mineiros do Tietê";"2014";"18636";"1367";"2862";"1529";"9714";"3164";3529807
"Mineiros do Tietê";"2015";"17999";"1226";"2693";"1563";"9394";"3123";3529807
"Mineiros do Tietê";"2016";"18052";"1357";"2526";"1605";"9313";"3251";3529807
"Mineiros do Tietê";"2017";"18441";"1634";"2334";"1579";"9400";"3494";3529807
"Mira Estrela";"2013";"5841";"266";"916";"1371";"2422";"867";3530003
"Mira Estrela";"2014";"6155";"336";"882";"1543";"2572";"822";3530003
"Mira Estrela";"2015";"6197";"310";"787";"1627";"2612";"861";3530003
"Mira Estrela";"2016";"6528";"288";"799";"2001";"2570";"871";3530003
"Mira Estrela";"2017";"7152";"239";"897";"2259";"2823";"933";3530003
"Miracatu";"2013";"26052";"1201";"7527";"3312";"11171";"2842";3529906
"Miracatu";"2014";"27662";"1513";"7575";"3402";"12133";"3039";3529906
"Miracatu";"2015";"26663";"1167";"7567";"3128";"11703";"3099";3529906
"Miracatu";"2016";"25967";"1104";"7376";"2961";"11382";"3144";3529906
"Miracatu";"2017";"27001";"1151";"7669";"2954";"11896";"3330";3529906
"Mirandópolis";"2013";"44766";"2889";"8787";"5537";"18568";"8985";3530102
"Mirandópolis";"2014";"48308";"3782";"9496";"6029";"19987";"9015";3530102
"Mirandópolis";"2015";"45032";"2459";"8825";"5576";"19371";"8801";3530102
"Mirandópolis";"2016";"42988";"2040";"7982";"5541";"19049";"8377";3530102
"Mirandópolis";"2017";"46223";"2498";"8226";"6231";"20113";"9155";3530102
"Mirante do Paranapanema";"2013";"23028";"3507";"2326";"7366";"7159";"2670";3530201
"Mirante do Paranapanema";"2014";"24223";"3020";"2561";"8122";"7807";"2713";3530201
"Mirante do Paranapanema";"2015";"23445";"1096";"4502";"7727";"7596";"2525";3530201
"Mirante do Paranapanema";"2016";"21961";"116";"4854";"7257";"7301";"2434";3530201
"Mirante do Paranapanema";"2017";"22675";"114";"4646";"7604";"7727";"2584";3530201
"Mirassol";"2013";"137562";"40097";"23198";"4288";"53493";"16486";3530300
"Mirassol";"2014";"148963";"43583";"25067";"4996";"58367";"16950";3530300
"Mirassol";"2015";"141470";"38870";"23936";"4124";"58396";"16143";3530300
"Mirassol";"2016";"138491";"37119";"23082";"4678";"57365";"16247";3530300
"Mirassol";"2017";"144854";"38756";"24477";"4797";"59932";"16892";3530300
"Mirassolândia";"2013";"9213";"2438";"628";"1887";"3164";"1096";3530409
"Mirassolândia";"2014";"10082";"2775";"648";"2004";"3474";"1182";3530409
"Mirassolândia";"2015";"10438";"3050";"589";"2086";"3549";"1164";3530409
"Mirassolândia";"2016";"11365";"3936";"599";"2435";"3288";"1107";3530409
"Mirassolândia";"2017";"12747";"4137";"594";"3372";"3469";"1175";3530409
"Mococa";"2013";"160462";"45689";"24569";"25608";"49944";"14652";3530508
"Mococa";"2014";"169985";"46326";"26053";"29842";"52771";"14993";3530508
"Mococa";"2015";"164494";"43357";"25637";"28148";"53133";"14219";3530508
"Mococa";"2016";"165263";"45103";"24089";"28465";"53320";"14287";3530508
"Mococa";"2017";"169702";"48094";"23423";"28860";"54572";"14753";3530508
"Mogi das Cruzes";"2013";"1449005";"794685";"182593";"38189";"306098";"127439";3530607
"Mogi das Cruzes";"2014";"1441729";"772595";"201386";"17493";"317603";"132652";3530607
"Mogi das Cruzes";"2015";"1331667";"669645";"202991";"16807";"310257";"131968";3530607
"Mogi das Cruzes";"2016";"1241855";"578434";"198457";"16254";"315812";"132898";3530607
"Mogi das Cruzes";"2017";"1258587";"587726";"196659";"16587";"322842";"134774";3530607
"Mogi Guaçu";"2013";"780254";"548916";"76729";"19193";"101284";"34133";3530706
"Mogi Guaçu";"2014";"777847";"537133";"71920";"26472";"105537";"36786";3530706
"Mogi Guaçu";"2015";"713940";"474791";"75987";"22496";"103230";"37436";3530706
"Mogi Guaçu";"2016";"708200";"459510";"73339";"30107";"106304";"38940";3530706
"Mogi Guaçu";"2017";"740370";"469600";"82182";"35145";"112880";"40564";3530706
"Mogi Mirim";"2013";"369389";"203274";"45270";"27133";"70081";"23630";
"Mogi Mirim";"2014";"407656";"197209";"83226";"30300";"73233";"23687";
"Mogi Mirim";"2015";"432705";"185639";"124297";"28811";"70517";"23442";
"Mogi Mirim";"2016";"420909";"169625";"120618";"37212";"70107";"23346";
"Mogi Mirim";"2017";"437413";"178501";"118738";"40514";"73617";"26042";
"Mombuca";"2013";"9833";"4124";"1555";"1159";"2197";"796";3530904
"Mombuca";"2014";"10886";"4708";"1763";"1209";"2403";"803";3530904
"Mombuca";"2015";"10887";"4530";"2043";"1084";"2285";"946";3530904
"Mombuca";"2016";"10808";"3807";"2605";"945";"2341";"1110";3530904
"Mombuca";"2017";"10896";"3676";"2698";"1051";"2378";"1093";3530904
"Mongaguá";"2013";"95225";"2343";"21190";"188";"56100";"15404";3531100
"Mongaguá";"2014";"101642";"2722";"22920";"203";"60368";"15429";3531100
"Mongaguá";"2015";"98991";"2106";"22297";"198";"58998";"15392";3531100
"Mongaguá";"2016";"95344";"1659";"20547";"182";"57477";"15479";3531100
"Mongaguá";"2017";"105509";"1614";"21400";"178";"66201";"16114";3531100
"Monte Alegre do Sul";"2013";"20668";"7690";"1953";"4088";"5300";"1636";3531209
"Monte Alegre do Sul";"2014";"17777";"3896";"2189";"4546";"5547";"1598";3531209
"Monte Alegre do Sul";"2015";"14761";"1035";"2224";"4336";"5571";"1595";3531209
"Monte Alegre do Sul";"2016";"14890";"920";"2606";"4284";"5530";"1550";3531209
"Monte Alegre do Sul";"2017";"15455";"959";"2683";"4458";"5797";"1556";3531209
"Monte Alto";"2013";"204587";"120469";"18691";"10937";"41050";"13440";3531308
"Monte Alto";"2014";"194565";"104430";"18659";"14382";"43405";"13689";3531308
"Monte Alto";"2015";"180512";"94156";"17063";"12967";"42185";"14142";3531308
"Monte Alto";"2016";"157947";"72920";"15745";"13030";"41604";"14648";3531308
"Monte Alto";"2017";"169072";"81127";"15493";"14541";"42648";"15262";3531308
"Monte Aprazível";"2013";"37809";"4817";"6330";"2765";"18592";"5305";3531407
"Monte Aprazível";"2014";"39763";"4987";"6447";"3166";"19805";"5360";3531407
"Monte Aprazível";"2015";"38957";"5497";"6127";"2675";"19281";"5378";3531407
"Monte Aprazível";"2016";"38175";"5858";"5842";"2525";"18755";"5195";3531407
"Monte Aprazível";"2017";"39890";"6802";"5791";"2674";"19443";"5179";3531407
"Monte Azul Paulista";"2013";"34634";"1578";"7419";"5371";"15365";"4900";3531506
"Monte Azul Paulista";"2014";"38966";"1666";"7452";"8244";"16559";"5045";3531506
"Monte Azul Paulista";"2015";"35487";"1663";"7097";"6138";"15845";"4745";3531506
"Monte Azul Paulista";"2016";"35219";"1733";"6585";"7159";"14941";"4800";3531506
"Monte Azul Paulista";"2017";"36764";"2018";"6788";"7733";"15231";"4994";3531506
"Monte Castelo";"2013";"6341";"1298";"435";"1350";"2383";"876";3531605
"Monte Castelo";"2014";"6361";"1042";"466";"1356";"2586";"911";3531605
"Monte Castelo";"2015";"5895";"962";"422";"1165";"2541";"806";3531605
"Monte Castelo";"2016";"5994";"1050";"399";"1170";"2576";"799";3531605
"Monte Castelo";"2017";"6619";"1236";"443";"1264";"2838";"838";3531605
"Monte Mor";"2013";"173611";"101833";"12434";"5521";"43457";"10366";3531803
"Monte Mor";"2014";"175803";"98085";"13924";"6257";"46950";"10587";3531803
"Monte Mor";"2015";"160621";"84364";"14323";"5508";"46064";"10362";3531803
"Monte Mor";"2016";"156834";"79909";"13185";"5860";"46531";"11348";3531803
"Monte Mor";"2017";"164706";"83892";"13735";"6369";"48531";"12180";3531803
"Monteiro Lobato";"2013";"5520";"133";"850";"941";"2957";"640";3531704
"Monteiro Lobato";"2014";"5883";"224";"956";"936";"3045";"722";3531704
"Monteiro Lobato";"2015";"5943";"435";"895";"933";"2977";"703";3531704
"Monteiro Lobato";"2016";"5993";"515";"897";"876";"2998";"708";3531704
"Monteiro Lobato";"2017";"6043";"506";"855";"904";"3068";"710";3531704
"Monções";"2013";"5271";"1968";"445";"829";"1332";"697";3531001
"Monções";"2014";"5708";"1999";"465";"933";"1550";"760";3531001
"Monções";"2015";"5462";"2004";"438";"715";"1543";"763";3531001
"Monções";"2016";"5384";"1781";"543";"685";"1574";"801";3531001
"Monções";"2017";"5573";"1893";"593";"676";"1651";"761";3531001
"Morro Agudo";"2013";"47972";"5235";"6488";"6264";"21887";"8098";3531902
"Morro Agudo";"2014";"49714";"4681";"6862";"6710";"23497";"7964";3531902
"Morro Agudo";"2015";"47862";"4377";"7456";"5725";"22778";"7526";3531902
"Morro Agudo";"2016";"46446";"3384";"6771";"6013";"22102";"8176";3531902
"Morro Agudo";"2017";"48494";"3472";"6951";"6402";"23110";"8559";3531902
"Morungaba";"2013";"73993";"56265";"2203";"3669";"9396";"2459";3532009
"Morungaba";"2014";"75794";"57250";"2552";"3717";"9761";"2514";3532009
"Morungaba";"2015";"75995";"57290";"2804";"3521";"9614";"2766";3532009
"Morungaba";"2016";"79939";"61488";"2694";"3598";"9674";"2485";3532009
"Morungaba";"2017";"89080";"70042";"2617";"3896";"9946";"2579";3532009
"Motuca";"2013";"5985";"277";"601";"1130";"2630";"1348";3532058
"Motuca";"2014";"6421";"486";"635";"1199";"2780";"1321";3532058
"Motuca";"2015";"6141";"504";"604";"1091";"2644";"1299";3532058
"Motuca";"2016";"6172";"579";"556";"1132";"2624";"1281";3532058
"Motuca";"2017";"6400";"560";"587";"1255";"2673";"1323";3532058
"Murutinga do Sul";"2013";"5732";"38";"532";"1708";"2626";"828";3532108
"Murutinga do Sul";"2014";"6234";"43";"542";"1856";"2911";"882";3532108
"Murutinga do Sul";"2015";"5895";"47";"510";"1745";"2756";"838";3532108
"Murutinga do Sul";"2016";"5820";"40";"510";"1728";"2723";"820";3532108
"Murutinga do Sul";"2017";"6142";"43";"574";"1817";"2882";"827";3532108
"Nantes";"2013";"4615";"45";"1772";"567";"1604";"627";3532157
"Nantes";"2014";"4731";"54";"1605";"582";"1753";"738";3532157
"Nantes";"2015";"4641";"41";"1547";"559";"1726";"767";3532157
"Nantes";"2016";"4243";"17";"1011";"513";"1819";"883";3532157
"Nantes";"2017";"4563";"18";"1127";"595";"1902";"921";3532157
"Narandiba";"2013";"10906";"5865";"561";"1285";"2351";"844";3532207
"Narandiba";"2014";"10780";"5315";"619";"1349";"2545";"952";3532207
"Narandiba";"2015";"11107";"2767";"3735";"1131";"2583";"890";3532207
"Narandiba";"2016";"12019";"2365";"5151";"1032";"2548";"923";3532207
"Narandiba";"2017";"11257";"1999";"4321";"1034";"2782";"1121";3532207
"Natividade da Serra";"2013";"7871";"83";"1139";"1824";"3752";"1073";3532306
"Natividade da Serra";"2014";"8302";"100";"1191";"1894";"4021";"1096";3532306
"Natividade da Serra";"2015";"8018";"75";"1088";"1882";"3927";"1046";3532306
"Natividade da Serra";"2016";"7987";"58";"998";"1912";"3999";"1020";3532306
"Natividade da Serra";"2017";"8608";"57";"1042";"1960";"4437";"1113";3532306
"Nazaré Paulista";"2013";"33496";"8803";"5246";"3623";"13895";"1929";3532405
"Nazaré Paulista";"2014";"35246";"9395";"5597";"3513";"14728";"2012";3532405
"Nazaré Paulista";"2015";"32242";"7577";"5393";"3132";"14079";"2061";3532405
"Nazaré Paulista";"2016";"32597";"7458";"5786";"3137";"14117";"2100";3532405
"Nazaré Paulista";"2017";"36569";"8007";"7727";"3122";"15515";"2197";3532405
"Neves Paulista";"2013";"17073";"2641";"2143";"2228";"7478";"2582";3532504
"Neves Paulista";"2014";"18081";"2672";"2164";"2598";"8050";"2598";3532504
"Neves Paulista";"2015";"17460";"2610";"2021";"2410";"7903";"2516";3532504
"Neves Paulista";"2016";"17332";"2393";"2496";"2219";"7671";"2553";3532504
"Neves Paulista";"2017";"18485";"2558";"3063";"2287";"8008";"2569";3532504
"Nhandeara";"2013";"18298";"1602";"3867";"3012";"7400";"2417";3532603
"Nhandeara";"2014";"19969";"1517";"4079";"3974";"7868";"2530";3532603
"Nhandeara";"2015";"19224";"1518";"4041";"3649";"7585";"2431";3532603
"Nhandeara";"2016";"18831";"1404";"3854";"3627";"7529";"2416";3532603
"Nhandeara";"2017";"19717";"1533";"3993";"3657";"7913";"2622";3532603
"Nipoã";"2013";"7722";"1520";"971";"1366";"2968";"897";3532702
"Nipoã";"2014";"8965";"1804";"1076";"1927";"3186";"972";3532702
"Nipoã";"2015";"8364";"2050";"863";"1448";"3077";"926";3532702
"Nipoã";"2016";"8066";"1756";"852";"1530";"2989";"939";3532702
"Nipoã";"2017";"9199";"1905";"935";"2063";"3290";"1006";3532702
"Nova Aliança";"2013";"24624";"1638";"1275";"15784";"3960";"1966";3532801
"Nova Aliança";"2014";"10175";"1151";"1897";"706";"4283";"2138";3532801
"Nova Aliança";"2015";"10035";"940";"2099";"580";"4321";"2095";3532801
"Nova Aliança";"2016";"9908";"485";"2188";"654";"4540";"2041";3532801
"Nova Aliança";"2017";"10686";"400";"2362";"1040";"4731";"2153";3532801
"Nova Campina";"2013";"17847";"11401";"646";"960";"3451";"1389";3532827
"Nova Campina";"2014";"17539";"11308";"802";"601";"3498";"1330";3532827
"Nova Campina";"2015";"16905";"10615";"852";"544";"3473";"1420";3532827
"Nova Campina";"2016";"17795";"11510";"876";"527";"3445";"1437";3532827
"Nova Campina";"2017";"18529";"11651";"1113";"550";"3762";"1453";3532827
"Nova Canaã Paulista";"2013";"2926";"31";"308";"1221";"886";"480";3532843
"Nova Canaã Paulista";"2014";"3152";"36";"335";"1310";"978";"493";3532843
"Nova Canaã Paulista";"2015";"3005";"33";"310";"1214";"971";"476";3532843
"Nova Canaã Paulista";"2016";"2954";"29";"287";"1213";"958";"468";3532843
"Nova Canaã Paulista";"2017";"3268";"29";"302";"1326";"1086";"525";3532843
"Nova Castilho";"2013";"2191";"44";"173";"1033";"556";"385";3532868
"Nova Castilho";"2014";"2939";"50";"197";"1630";"613";"449";3532868
"Nova Castilho";"2015";"2426";"35";"218";"1081";"629";"464";3532868
"Nova Castilho";"2016";"2387";"26";"217";"1080";"644";"420";3532868
"Nova Castilho";"2017";"2620";"27";"221";"1230";"692";"449";3532868
"Nova Europa";"2013";"12038";"850";"1494";"998";"6502";"2193";3532900
"Nova Europa";"2014";"12650";"840";"1643";"1008";"6863";"2297";3532900
"Nova Europa";"2015";"12382";"996";"1534";"991";"6661";"2200";3532900
"Nova Europa";"2016";"12088";"668";"1477";"899";"6800";"2245";3532900
"Nova Europa";"2017";"12815";"1086";"1453";"1069";"6912";"2295";3532900
"Nova Granada";"2013";"37598";"1712";"4780";"13140";"13756";"4210";3533007
"Nova Granada";"2014";"39035";"1808";"5222";"13256";"14391";"4358";3533007
"Nova Granada";"2015";"37699";"1545";"4920";"12969";"14192";"4073";3533007
"Nova Granada";"2016";"37343";"1501";"4316";"13891";"13611";"4024";3533007
"Nova Granada";"2017";"38284";"1670";"4254";"14195";"14101";"4066";3533007
"Nova Guataporanga";"2013";"2665";"2";"353";"452";"1312";"546";3533106
"Nova Guataporanga";"2014";"2826";"2";"383";"483";"1397";"561";3533106
"Nova Guataporanga";"2015";"2672";"1";"366";"405";"1352";"550";3533106
"Nova Guataporanga";"2016";"2543";"-";"334";"368";"1319";"523";3533106
"Nova Guataporanga";"2017";"2761";"-";"360";"394";"1435";"571";3533106
"Nova Independência";"2013";"4582";"297";"511";"848";"2046";"880";3533205
"Nova Independência";"2014";"4994";"383";"519";"892";"2251";"950";3533205
"Nova Independência";"2015";"4998";"235";"725";"806";"2284";"949";3533205
"Nova Independência";"2016";"5136";"43";"928";"820";"2383";"964";3533205
"Nova Independência";"2017";"5256";"50";"600";"858";"2724";"1024";3533205
"Nova Luzitânia";"2013";"4104";"89";"560";"542";"2174";"740";3533304
"Nova Luzitânia";"2014";"4369";"84";"607";"585";"2345";"749";3533304
"Nova Luzitânia";"2015";"4117";"50";"512";"683";"2211";"661";3533304
"Nova Luzitânia";"2016";"4112";"47";"481";"764";"2174";"647";3533304
"Nova Luzitânia";"2017";"4390";"44";"541";"775";"2297";"733";3533304
"Nova Odessa";"2013";"371178";"279938";"26065";"1452";"48412";"15310";3533403
"Nova Odessa";"2014";"371841";"273060";"29964";"1486";"51993";"15338";3533403
"Nova Odessa";"2015";"349038";"252193";"29516";"1339";"51358";"14632";3533403
"Nova Odessa";"2016";"349987";"252096";"29258";"1146";"52150";"15336";3533403
"Nova Odessa";"2017";"368709";"267723";"30231";"1085";"54009";"15662";3533403
"Novais";"2013";"4816";"131";"653";"566";"2615";"851";3533254
"Novais";"2014";"4986";"141";"715";"602";"2676";"852";3533254
"Novais";"2015";"4735";"100";"690";"539";"2606";"800";3533254
"Novais";"2016";"4669";"63";"700";"514";"2607";"784";3533254
"Novais";"2017";"4888";"47";"721";"534";"2741";"845";3533254
"Novo Horizonte";"2013";"75024";"8776";"13976";"14090";"30023";"8158";3533502
"Novo Horizonte";"2014";"68256";"9632";"14685";"2584";"32525";"8829";3533502
"Novo Horizonte";"2015";"68089";"9562";"14196";"2418";"33097";"8816";3533502
"Novo Horizonte";"2016";"69034";"8699";"14903";"2817";"33542";"9073";3533502
"Novo Horizonte";"2017";"71084";"9575";"14691";"2840";"34668";"9310";3533502
"Nuporanga";"2013";"49188";"33571";"4115";"3662";"5253";"2587";3533601
"Nuporanga";"2014";"49879";"33405";"4219";"4107";"5663";"2483";3533601
"Nuporanga";"2015";"50310";"33791";"4361";"4243";"5550";"2365";3533601
"Nuporanga";"2016";"48860";"32553";"4385";"4011";"5539";"2372";3533601
"Nuporanga";"2017";"50177";"33234";"4118";"4219";"5961";"2645";3533601
"Ocauçu";"2013";"6982";"285";"735";"2477";"2528";"956";3533700
"Ocauçu";"2014";"7121";"180";"739";"2511";"2683";"1008";3533700
"Ocauçu";"2015";"7152";"152";"690";"2554";"2678";"1079";3533700
"Ocauçu";"2016";"7406";"228";"673";"2714";"2689";"1102";3533700
"Ocauçu";"2017";"7738";"215";"808";"2822";"2795";"1099";3533700
"Óleo";"2013";"3214";"25";"291";"704";"1412";"781";3533809
"Óleo";"2014";"3335";"44";"289";"764";"1467";"771";3533809
"Óleo";"2015";"3153";"56";"242";"711";"1392";"752";3533809
"Óleo";"2016";"4075";"51";"227";"1587";"1434";"776";3533809
"Óleo";"2017";"5428";"48";"218";"2906";"1463";"793";3533809
"Olímpia";"2013";"134127";"31694";"36141";"7996";"45173";"13124";3533908
"Olímpia";"2014";"146507";"32745";"40723";"9710";"49423";"13906";3533908
"Olímpia";"2015";"143818";"31390";"40951";"8214";"49086";"14177";3533908
"Olímpia";"2016";"140954";"27616";"41543";"8976";"48132";"14687";3533908
"Olímpia";"2017";"153805";"31358";"46667";"9239";"50427";"16114";3533908
"Onda Verde";"2013";"8454";"851";"3008";"527";"3043";"1025";3534005
"Onda Verde";"2014";"10089";"903";"4111";"589";"3398";"1087";3534005
"Onda Verde";"2015";"9967";"868";"4122";"695";"3190";"1092";3534005
"Onda Verde";"2016";"9800";"964";"3823";"834";"3080";"1099";3534005
"Onda Verde";"2017";"10369";"1024";"4076";"740";"3415";"1115";3534005
"Oriente";"2013";"8729";"1001";"1079";"987";"4370";"1293";3534104
"Oriente";"2014";"9344";"952";"1323";"1031";"4623";"1414";3534104
"Oriente";"2015";"9172";"918";"1263";"896";"4599";"1497";3534104
"Oriente";"2016";"9386";"1043";"1325";"879";"4616";"1522";3534104
"Oriente";"2017";"9202";"908";"1297";"801";"4677";"1519";3534104
"Orindiúva";"2013";"9800";"1516";"1092";"1384";"4205";"1604";3534203
"Orindiúva";"2014";"10196";"1157";"1036";"1764";"4567";"1672";3534203
"Orindiúva";"2015";"11064";"946";"2731";"1456";"4286";"1645";3534203
"Orindiúva";"2016";"20904";"174";"13246";"1568";"4150";"1766";3534203
"Orindiúva";"2017";"15617";"169";"7070";"1786";"4633";"1959";3534203
"Orlândia";"2013";"168407";"94308";"17894";"4001";"34189";"18015";3534302
"Orlândia";"2014";"180568";"103714";"18442";"4567";"36265";"17579";3534302
"Orlândia";"2015";"176414";"102108";"18816";"4050";"35172";"16266";3534302
"Orlândia";"2016";"172563";"99467";"17984";"3763";"34518";"16832";3534302
"Orlândia";"2017";"176749";"102587";"18109";"3989";"35153";"16910";3534302
"Osasco";"2013";"1565249";"364033";"468046";"-";"644401";"88769";3534401
"Osasco";"2014";"1597323";"338057";"517521";"-";"644798";"96946";3534401
"Osasco";"2015";"1493998";"259083";"533773";"-";"609166";"91975";3534401
"Osasco";"2016";"1429658";"216431";"515131";"-";"613158";"84937";3534401
"Osasco";"2017";"1446265";"212224";"533330";"-";"619326";"81385";3534401
"Oscar Bressane";"2013";"4181";"714";"406";"797";"1530";"735";3534500
"Oscar Bressane";"2014";"4648";"898";"453";"951";"1612";"734";3534500
"Oscar Bressane";"2015";"4517";"754";"512";"926";"1570";"756";3534500
"Oscar Bressane";"2016";"4488";"673";"621";"831";"1601";"761";3534500
"Oscar Bressane";"2017";"4552";"686";"578";"862";"1647";"779";3534500
"Osvaldo Cruz";"2013";"74439";"24585";"11291";"6236";"22899";"9427";3534609
"Osvaldo Cruz";"2014";"71803";"17676";"12530";"7265";"24511";"9822";3534609
"Osvaldo Cruz";"2015";"58158";"5094";"12306";"6977";"24065";"9716";3534609
"Osvaldo Cruz";"2016";"58331";"5637";"11549";"6639";"24324";"10183";3534609
"Osvaldo Cruz";"2017";"58807";"5526";"11792";"6539";"24833";"10118";3534609
"Ourinhos";"2013";"202257";"34322";"48755";"3394";"83611";"32175";3534708
"Ourinhos";"2014";"212881";"34769";"50507";"3142";"90948";"33515";3534708
"Ourinhos";"2015";"206443";"32868";"47929";"2956";"88704";"33987";3534708
"Ourinhos";"2016";"203056";"33132";"44859";"2788";"88376";"33902";3534708
"Ourinhos";"2017";"206323";"34244";"45769";"2806";"89016";"34486";3534708
"Ouro Verde";"2013";"9244";"412";"1165";"1175";"4773";"1718";3534807
"Ouro Verde";"2014";"9671";"241";"1303";"1229";"5106";"1792";3534807
"Ouro Verde";"2015";"9253";"189";"1317";"1035";"4977";"1736";3534807
"Ouro Verde";"2016";"9024";"178";"1253";"960";"4932";"1701";3534807
"Ouro Verde";"2017";"9935";"390";"1351";"1027";"5352";"1815";3534807
"Ouroeste";"2013";"17946";"3323";"2858";"2828";"7048";"1888";3534757
"Ouroeste";"2014";"18789";"2852";"3186";"2878";"7757";"2115";3534757
"Ouroeste";"2015";"17281";"1921";"3378";"2298";"7695";"1989";3534757
"Ouroeste";"2016";"17074";"1658";"3335";"2657";"7483";"1942";3534757
"Ouroeste";"2017";"18672";"2201";"3264";"3009";"8089";"2109";3534757
"Pacaembu";"2013";"16980";"286";"2682";"1964";"7181";"4867";3534906
"Pacaembu";"2014";"17832";"295";"2905";"2206";"7672";"4753";3534906
"Pacaembu";"2015";"17036";"297";"2808";"1930";"7364";"4637";3534906
